Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
76.71437788,52.25511265,4.576784897,4.869053583,0,0,4,3
77.71412307,52.25511347,4.576785833,4.80796772,0,0,4,3
78.71373969,52.25511444,4.57678583,4.711801306,0,0,4,3
79.71645092,52.25511525,4.576785805,4.655033117,0,0,4,3
80.71926949,52.25511571,4.576785624,4.612938844,0,0,4,3
81.71801722,52.25511586,4.576785386,4.605284715,0,0,4,3
82.71765815,52.25511598,4.576785323,4.625346007,0,0,4,3
83.71485018,52.25511609,4.576785459,4.617872939,0,0,4,3
84.7223223,52.2551164,4.57678596,4.643465342,0,0,4,3
85.71403453,52.25511645,4.576785801,4.656243038,0,0,4,3
86.70896364,52.25511656,4.576786011,4.665852824,0,0,4,3
87.72096545,52.25511683,4.576786501,4.69287978,0,0,4,3
88.71760407,52.25511722,4.576786907,4.737851236,0,0,4,3
89.71628922,52.25511721,4.57678732,4.751702643,0,0,4,3
90.72205853,52.25511704,4.576788232,4.733848441,0,0,4,3
91.7192441,52.25511708,4.576789168,4.795331544,0,0,4,3
92.71570129,52.2551176,4.576790337,4.78543662,0,0,4,3
93.71618875,52.25511771,4.576790844,4.811040163,0,0,4,3
94.71407752,52.25511793,4.576791304,4.826677386,0,0,4,3
95.71978802,52.2551185,4.576791542,4.788752259,0,0,4,3
96.7138211,52.25511886,4.576791898,4.817297438,0,0,4,3
97.71434629,52.25511908,4.576792661,4.837134685,0,0,4,3
98.71796844,52.25511884,4.576792463,4.763380893,0,0,4,3
99.71807829,52.25511868,4.576792334,4.707377088,0,0,4,3
100.728876,52.25511877,4.576792131,4.658244243,0,0,4,3
101.7149112,52.25511866,4.576792027,4.662182097,0,0,4,3
102.7225484,52.25511821,4.576791548,4.660200569,0,0,4,3
103.7154042,52.25511547,4.576790111,4.684958786,0,0,4,3
104.7135174,52.25511417,4.576790951,4.822338277,0,0,4,3
105.7157887,52.25511561,4.576794411,4.879042768,0,0,4,3
106.7187118,52.25511556,4.576794303,4.651496415,0,0,4,3
107.715382,52.25511561,4.576794361,4.604789505,0,0,4,3
108.7172732,52.25511563,4.576794789,4.61593246,0,0,4,3
109.7158141,52.25511574,4.576794935,4.630079227,0,0,4,3
110.7112114,52.25511604,4.576794972,4.64646048,0,0,4,3
111.718081,52.25511634,4.576794571,4.637858323,0,0,4,3
112.7107675,52.25511694,4.576794021,4.642520297,0,0,4,3
113.7186422,52.25511756,4.576793896,4.654179384,0,0,4,3
114.712206,52.25511856,4.57679369,4.653933943,0,0,4,3
115.7123375,52.25512016,4.576793712,4.689385106,0,0,4,3
116.7120177,52.25512078,4.576792794,4.79614294,0,0,4,3
117.7145448,52.2551209,4.576792432,4.801629646,0,0,4,3
118.7179852,52.25512121,4.576792439,4.804931962,0,0,4,3
119.712136,52.25512148,4.576791837,4.809047355,0,0,4,3
120.7270856,52.255122,4.576791828,4.79409932,0,0,4,3
121.713541,52.25512218,4.576792393,4.804109533,0,0,4,3
122.7106404,52.25512314,4.576792792,4.805996465,0,0,4,3
123.7119078,52.25512306,4.576792517,4.758055233,0,0,4,3
124.7157979,52.25512337,4.576792346,4.738004051,0,0,4,3
125.7143833,52.25512377,4.576791835,4.705284379,0,0,4,3
126.7157363,52.25512316,4.576789979,4.69682432,0,0,4,3
127.7165987,52.25512355,4.576789074,4.688172389,0,0,4,3
128.7126537,52.25512371,4.576788697,4.69729301,0,0,4,3
129.7163453,52.25512392,4.576788315,4.680595696,0,0,4,3
130.7191881,52.2551243,4.576788018,4.672336516,0,0,4,3
131.716173,52.25512454,4.57678704,4.668279025,0,0,4,3
132.7083966,52.25512482,4.576786032,4.595656634,0,0,4,3
133.7124816,52.2551249,4.576785987,4.5779957,0,0,4,3
134.7191868,52.25512543,4.576785616,4.581567841,0,0,4,3
135.7103842,52.25512589,4.57678542,4.599707503,0,0,4,3
136.7184145,52.25512632,4.576784947,4.632644595,0,0,4,3
137.711175,52.25512633,4.576784452,4.643732556,0,0,4,3
138.7166131,52.25512608,4.576783506,4.662833082,0,0,4,3
139.7196062,52.25512595,4.576783027,4.665780577,0,0,4,3
140.7088608,52.25512603,4.576783252,4.702365945,0,0,4,3
141.7090525,52.25512602,4.576782818,4.751531677,0,0,4,3
142.7329188,52.25512613,4.576782404,4.774326408,0,0,4,3
143.7200943,52.25512623,4.576781755,4.783314547,0,0,4,3
144.7171839,52.25512688,4.576780214,4.812017706,0,0,4,3
145.7174593,52.25512746,4.576779702,4.790586246,0,0,4,3
146.7182061,52.2551277,4.576779003,4.767929056,0,0,4,3
147.7188634,52.25512481,4.576779076,4.762656285,0,0,4,3
148.7195136,52.25512269,4.576777203,4.706651637,0,0,4,3
149.7100892,52.25512353,4.57677208,4.678679342,0,0,4,3
150.7217194,52.25512311,4.576769361,4.646567437,0,0,4,3
151.7157145,52.25512143,4.576767883,4.65189486,0,0,4,3
152.7160504,52.25512131,4.576767406,4.65566663,0,0,4,3
153.7143222,52.25512095,4.576767424,4.665064715,0,0,4,3
154.7180789,52.25512066,4.576767348,4.68505539,0,0,4,3
155.7166975,52.25512045,4.576767392,4.710250865,0,0,4,3
156.7127489,52.25512025,4.576767153,4.747776611,0,0,4,3
157.7112932,52.25512029,4.57676605,4.760890018,0,0,4,3
158.7105207,52.25512038,4.576766488,4.778727649,0,0,4,3
159.7100653,52.2551209,4.576766752,4.799797818,0,0,4,3
160.7306279,52.25512157,4.576766805,4.821146488,0,0,4,3
161.7171433,52.25512212,4.57676704,4.833933735,0,0,4,3
162.7175894,52.25512264,4.576766914,4.825403431,0,0,4,3
163.7158308,52.25512315,4.576766567,4.826424407,0,0,4,3
164.7146043,52.25512376,4.576766849,4.815969678,0,0,4,3
165.7099263,52.25512424,4.576766943,4.804451193,0,0,4,3
166.718544,52.25512462,4.57676702,4.774891222,0,0,4,3
167.7200415,52.25512477,4.576766995,4.751295198,0,0,4,3
168.7116919,52.25512512,4.576767084,4.754191119,0,0,4,3
