"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.331838200E-2,3.814511061E0,-8.877823830E0,-1.478627014E1
3.331838200E-2,2.789147139E0,-9.580615044E0,-1.530838013E1
4.331738200E-2,2.273087502E0,-1.007053089E1,-1.557699013E1
5.331638200E-2,1.854738474E0,-1.069164848E1,-1.548540878E1
6.331563200E-2,1.503381610E0,-1.140477276E1,-1.557807922E1
7.331463200E-2,1.357157230E0,-1.214352798E1,-1.556364727E1
8.331346500E-2,1.217265606E0,-1.258890724E1,-1.569461823E1
9.331246500E-2,1.327987671E0,-1.286818218E1,-1.581288624E1
1.033113400E-1,1.409951925E0,-1.287412834E1,-1.586935139E1
1.133101170E-1,1.629071593E0,-1.266877937E1,-1.579850864E1
1.233090170E-1,1.786353588E0,-1.228993607E1,-1.576928902E1
1.333078350E-1,2.013459921E0,-1.182900047E1,-1.557431316E1
1.433065850E-1,2.042355061E0,-1.135997105E1,-1.518737793E1
1.533054310E-1,2.094471216E0,-1.079546547E1,-1.485535812E1
1.633042160E-1,2.148454189E0,-1.050203800E1,-1.444952679E1
1.733030820E-1,2.159676790E0,-1.041319084E1,-1.425985909E1
1.833018940E-1,2.120304108E0,-1.050563240E1,-1.408753395E1
1.933006580E-1,1.947237015E0,-1.071930122E1,-1.392898750E1
2.032994910E-1,1.597934604E0,-1.104792786E1,-1.376932144E1
2.132982800E-1,9.597211480E-1,-1.147195435E1,-1.383937073E1
2.232970300E-1,3.947445154E-1,-1.200988865E1,-1.384776020E1
2.332958390E-1,-1.085937023E-1,-1.246257114E1,-1.391675377E1
2.432946110E-1,-5.316423178E-1,-1.294988251E1,-1.413214111E1
2.532933500E-1,-7.252740860E-1,-1.330394840E1,-1.446050072E1
2.632921410E-1,-8.535964489E-1,-1.355454445E1,-1.485931969E1
2.732909410E-1,-7.532904148E-1,-1.367540073E1,-1.526405716E1
2.832897480E-1,-5.382007360E-1,-1.352918530E1,-1.514602089E1
2.932885250E-1,-4.194552898E-1,-1.341365433E1,-1.497749519E1
3.032872750E-1,-6.864726543E-2,-1.320464325E1,-1.477991104E1
3.132860680E-1,1.526328325E-1,-1.314283085E1,-1.438062286E1
3.232848680E-1,2.582604885E-1,-1.309461403E1,-1.407796288E1
3.332837010E-1,2.853479385E-1,-1.318795204E1,-1.380245113E1
3.432826010E-1,1.877907515E-1,-1.321454620E1,-1.340205956E1
3.532815340E-1,9.000301361E-6,-1.325454140E1,-1.339776039E1
3.632804340E-1,-1.238663793E-1,-1.324420166E1,-1.349213982E1
