"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.225508200E1,4.578174900E0,-1.799765712E0,0.000000000E0,0.000000000E0,4.667399979E1,2.000000000E0
4.607035370E-1,5.225465772E1,4.579116302E0,-2.681206164E0,3.709361076E0,1.358713226E2,3.000000000E0,3.198196888E0
1.458425498E0,5.225463275E1,4.579154327E0,-2.799136839E0,3.688300848E0,1.350605774E2,3.000000000E0,3.113719225E0
2.448692998E0,5.225460650E1,4.579184638E0,-2.779443960E0,3.666412830E0,1.415807953E2,3.000000000E0,3.053519726E0
3.451466112E0,5.225457943E1,4.579206745E0,-3.005745848E0,3.632812977E0,1.484458466E2,3.000000000E0,3.000359297E0
4.447646419E0,5.225454959E1,4.579198421E0,-2.974857090E0,3.601196289E0,1.889924164E2,3.000000000E0,3.000000000E0
5.456080611E0,5.225451716E1,4.579192929E0,-2.837483955E0,3.617275715E0,1.980555267E2,3.000000000E0,3.000000000E0
6.448208687E0,5.225447742E1,4.579172015E0,-2.739515842E0,3.673771381E0,2.044459534E2,3.000000000E0,3.000000000E0
7.448186032E0,5.225443893E1,4.579147689E0,-2.827688380E0,3.751456022E0,2.050922546E2,3.000000000E0,3.000000000E0
8.448581070E0,5.225440370E1,4.579104400E0,-3.050138037E0,3.837098360E0,2.192973938E2,3.000000000E0,3.000000000E0
9.450226493E0,5.225436897E1,4.579061087E0,-3.222693809E0,3.942129850E0,2.218477936E2,4.000000000E0,3.000000000E0
1.045031238E1,5.225433474E1,4.579013817E0,-3.204283753E0,4.043696404E0,2.205064850E2,4.000000000E0,3.000000000E0
1.144844565E1,5.225429985E1,4.578965695E0,-3.101953518E0,4.143086433E0,2.184866791E2,4.000000000E0,3.000000000E0
1.245073430E1,5.225426105E1,4.578919214E0,-3.131568223E0,5.199767113E0,2.154469452E2,4.000000000E0,3.000000000E0
1.345810180E1,5.225422275E1,4.578876612E0,-3.337268430E0,5.158677101E0,2.149963226E2,4.000000000E0,3.000000000E0
1.445146653E1,5.225418528E1,4.578831932E0,-3.474079732E0,5.180962086E0,2.151888733E2,4.000000000E0,3.000000000E0
1.545365207E1,5.225414830E1,4.578787339E0,-3.464560009E0,5.135677338E0,2.158360138E2,4.000000000E0,3.000000000E0
1.645633753E1,5.225411245E1,4.578737073E0,-3.628974892E0,5.172341824E0,2.174729156E2,6.000000000E0,3.000000000E0
1.744829783E1,5.225407638E1,4.578688994E0,-3.727502329E0,5.154687881E0,2.190778198E2,6.000000000E0,3.000000000E0
1.844920387E1,5.225404077E1,4.578641376E0,-3.795901381E0,5.089916706E0,2.191073608E2,6.000000000E0,3.000000000E0
1.944900598E1,5.225400537E1,4.578594295E0,-3.650957727E0,5.256139278E0,2.196506348E2,4.000000000E0,3.000000000E0
2.044890356E1,5.225397063E1,4.578543034E0,-3.697260238E0,5.250687122E0,2.211118622E2,4.000000000E0,3.000000000E0
2.145510464E1,5.225393560E1,4.578489728E0,-3.947721403E0,5.284803867E0,2.210029755E2,4.000000000E0,3.241602182E0
2.245034014E1,5.225389915E1,4.578435848E0,-3.991942268E0,5.137533665E0,2.209326935E2,4.000000000E0,3.548866272E0
2.345987883E1,5.225386715E1,4.578383392E0,-4.401364963E0,5.175631046E0,2.235180054E2,6.000000000E0,3.462954998E0
2.445541887E1,5.225383660E1,4.578331242E0,-4.308700983E0,5.185039043E0,2.262384186E2,4.000000000E0,3.397325993E0
2.545710114E1,5.225380537E1,4.578275096E0,-3.909226580E0,5.240494251E0,2.260949097E2,4.000000000E0,3.329748154E0
2.645230979E1,5.225377372E1,4.578219239E0,-3.874251688E0,5.245990753E0,2.278285522E2,4.000000000E0,3.270984888E0
2.745518867E1,5.225374593E1,4.578154115E0,-4.025080663E0,5.229311466E0,2.327669678E2,4.000000000E0,3.227110624E0
2.844612883E1,5.225372091E1,4.578087612E0,-4.119050815E0,5.326763153E0,2.371394653E2,4.000000000E0,3.179085255E0
2.944990225E1,5.225369901E1,4.578022150E0,-3.933883622E0,5.319838524E0,2.374025421E2,4.000000000E0,3.128261328E0
3.045082702E1,5.225367715E1,4.577956877E0,-3.982088789E0,5.311921120E0,2.394970856E2,4.000000000E0,3.084075689E0
3.144692955E1,5.225366143E1,4.577890846E0,-3.883211356E0,4.921439648E0,2.475190277E2,4.000000000E0,3.044641972E0
3.245055302E1,5.225364298E1,4.577818398E0,-4.041585144E0,5.414581776E0,2.480339508E2,4.000000000E0,3.010505199E0
3.345945948E1,5.225362514E1,4.577746893E0,-4.035740582E0,5.457578182E0,2.478673248E2,4.000000000E0,3.380204201E0
3.444445570E1,5.225360787E1,4.577672664E0,-4.217903342E0,5.376387119E0,2.512196808E2,4.000000000E0,3.323204517E0
3.545457920E1,5.225359442E1,4.577596106E0,-4.514393724E0,5.363828182E0,2.539348145E2,4.000000000E0,3.265945196E0
3.644534797E1,5.225357804E1,4.577523225E0,-4.478539546E0,5.377145290E0,2.538413086E2,4.000000000E0,3.225198746E0
3.745033793E1,5.225356061E1,4.577454123E0,-4.467891194E0,5.211435795E0,2.477021942E2,6.000000000E0,3.184104919E0
3.844870259E1,5.225354212E1,4.577382895E0,-4.501832057E0,5.334830761E0,2.470259552E2,6.000000000E0,3.143012762E0
3.945460409E1,5.225353004E1,4.577310229E0,-4.434721585E0,5.211332798E0,2.538950195E2,6.000000000E0,3.109120607E0
4.044894870E1,5.225351773E1,4.577235511E0,-4.617419818E0,5.307806969E0,2.545124359E2,6.000000000E0,3.071570873E0
4.145702928E1,5.225350552E1,4.577163965E0,-4.534010379E0,5.248379230E0,2.544105530E2,4.000000000E0,3.440734386E0
4.244674797E1,5.225350045E1,4.577093175E0,-4.647163213E0,5.231118202E0,2.619403381E2,4.000000000E0,3.391018867E0
4.346122620E1,5.225349850E1,4.577021245E0,-4.935007179E0,5.243534088E0,2.674573364E2,6.000000000E0,3.353561640E0
4.444786520E1,5.225350289E1,4.576951414E0,-5.216259534E0,5.089110374E0,2.750816650E2,6.000000000E0,3.321171522E0
4.544869631E1,5.225350666E1,4.576882414E0,-4.906912001E0,4.693441391E0,2.730836487E2,6.000000000E0,3.678491354E0
4.644034927E1,5.225350819E1,4.576812833E0,-4.596860971E0,4.788118839E0,2.729681702E2,6.000000000E0,3.624416590E0
4.744823712E1,5.225350852E1,4.576747704E0,-4.365807118E0,4.455552578E0,2.714112549E2,6.000000000E0,3.583543777E0
4.844781646E1,5.225350801E1,4.576679524E0,-4.266172111E0,4.384633541E0,2.697893677E2,6.000000000E0,3.541302681E0
4.944777258E1,5.225351056E1,4.576621834E0,-3.746032039E0,4.112185478E0,2.732599792E2,6.000000000E0,3.509003639E0
5.046224696E1,5.225351183E1,4.576559885E0,-3.804651639E0,4.177052975E0,2.703023376E2,6.000000000E0,3.468605995E0
