,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,1204.0,1204.0,1204.0,1203.0,1203.0,1203.0,1204.0,1204.0,1204.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,1204.0,1204.0,1204.0,1204.0,1.0
mean,-1.0407921527469353,4.426316108270606,8.702471309861716,-0.056252378282501764,0.11254601962024993,-0.10948947749271219,-1.137531384785796,-0.2863888344527501,0.35706001091191997,52.2551255048505,4.57677845472093,5.101387168700333,0.011526732448172757,6.3049121999999995,4.355186047342193,4.580079451893687,-0.2749275689593366,-24.604084124394774,17.37397608213094,999.5626833070738,8.0
std,2.8598204402641523,2.0899051526477828,1.8791081423661506,0.8133620710096274,1.480564464860908,1.0087856198091885,3.487989354692828,2.305055085023434,1.7787105280262516,1.078362352794868e-05,1.0267950733960028e-05,1.7831229942411704,0.09065802295385413,39.35461710114782,1.7059470789557554,9.772196257052284,6.017087738639002,6.009245857550186,6.446576999449115,0.025788361487124874,
min,-7.959642070495997,-1.0225085855931195,3.431187346205838,-1.8743679127167272,-3.741093319823999,-3.0159101257680003,-7.734555101079998,-6.203275613560001,-5.595284080495999,52.25511079,4.576716855,-11.66128007,0.0,0.0,2.0,2.599998474,-49.52639907879998,-38.78639907880001,-72.87839813200002,999.4903157666668,8.0
25%,-3.4878406812639193,2.9739957832345403,7.288469412242001,-0.6666531235991808,-1.1150764794264,-1.0005801673041437,-4.31343791717,-2.0210216641436998,-1.0554272842398,52.25511948,4.57677005,4.678679342,0.0,0.0,4.0,3.0,-3.9437999040809997,-28.925399417700007,14.612399797500002,999.546590175,8.0
50%,-1.4146907955220798,4.869667645407667,8.605128995932002,-0.2376742273647123,0.20842416706503988,-0.14209214483312002,-1.6040593421452,0.32709684132899985,0.3211135100279997,52.25512613,4.57677806,4.892243447,0.0,0.0,4.0,3.0,-0.16560000166999997,-24.6371993642,17.2643995098,999.565144875,8.0
75%,1.6157380440206799,6.018143801007998,9.984336646916002,0.4745848725367201,1.2834981288534402,0.777145209307992,1.8514683640540999,1.4464779567299,1.7566994046939999,52.25513109,4.576786907,5.273283231000001,0.0,0.0,4.0,3.0,3.4121998971515994,-20.7461993407,20.212799644399997,999.5801594999999,8.0
max,5.370300952887998,9.246440324872003,13.852086410344006,2.3211718506223993,3.5698201455840013,2.3851306676844795,5.690286135708,4.910968742432001,4.6710664176000005,52.25526417,4.576814700000001,14.98263234,1.2565025090000002,310.20779419999997,16.0,137.23387150000002,23.011199722399997,2.018399926868,32.50559921320001,999.6331787,8.0
