,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,50.0,1.0
mean,-0.07734388475799299,2.2827753992286484,9.182797989934555,0.0025866123594319125,0.004633665876921808,0.005461042156319744,-0.19615433363212073,-0.026598040737218765,-0.3081212027398527,52.255127204013334,4.576756818514,3.427607760357467,0.011874464133800002,5.771532084166666,4.4285519981200006,4.049456410469333,-5.1143501984869495,-11.940240558868298,7.641612024868629,999.6065779178529,8.0
std,0.46664976888588533,0.46875484974039144,0.17459173806389328,0.027509342510871854,0.025702371331855614,0.03291784542510136,0.4281958468264217,0.08609979598341763,0.14410842842975383,9.171545027309862e-06,1.279715657682151e-05,0.5367869833317558,0.07744959288542978,33.027970807376676,0.9580630515714605,4.121609389294054,2.3155950342997667,2.5238019483571876,1.2245552094249987,0.018770822848891824,
min,-0.9645066008409554,1.5082071732086648,8.39452707763889,-0.026749381890773118,-0.02118987008809034,-0.03429316042250046,-2.644620399664442,-0.48508373327142856,-1.2724916595142854,52.255090104,4.576731018,2.1823183575400003,0.0,0.0,4.0,3.0,-11.807699729526675,-17.900799617933338,5.119799882160008,999.5567220050001,8.0
25%,-0.41228614127679303,1.9578194923815757,9.087898198714289,-0.00692343458128466,-0.006108977388365251,-0.010366518862134473,-0.11556194425587155,-0.05548406409221633,-0.3233022983265911,52.255122810833335,4.576751832583334,3.1400597981250002,0.0,0.0,4.0,3.0,-6.135249851438335,-13.540149710962513,6.804499848295837,999.5941345249998,8.0
50%,-0.09704075567476259,2.120467933585794,9.224734744156608,-0.0014683163221653425,0.0034843753529134615,0.0012482015389779673,-0.08029351363220741,-0.023463912804694714,-0.2931955735002687,52.2551268175,4.576758292916667,3.3202747199166662,0.0,0.0,4.0,3.0,-4.990599873043335,-11.327699754788325,7.621799819773326,999.6062113466664,8.0
75%,0.2019694507512318,2.599548873133741,9.29765583425883,0.007710156671919409,0.0076533269291960285,0.01446959159957864,-0.05232794561027062,0.003569889613529149,-0.2622516612242778,52.25513108041667,4.5767617351666665,3.607721175291667,0.0,0.0,4.0,3.0,-3.623049909891101,-10.238113917860474,8.217799821302494,999.6197865779168,8.0
max,1.1279556311248646,3.395845450640904,9.38943277772865,0.18125226872147057,0.16728189134108823,0.20813213945588233,0.0003805992368869087,0.26360209538020657,-0.1507605869545659,52.25514473166666,4.576800202666667,5.376527124333333,0.5465815007400001,226.38214112,8.427599906000001,26.433906556800004,-1.3847999651716345,-7.433499839931668,11.132599743861682,999.6428222650003,8.0
