,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,51.0,51.0,51.0,51.0,2.0
mean,2.1690458374910992,1.8950039595817423,9.154911108531952,-0.0002260850745494188,-0.0007612945581300207,0.000512540602859419,-0.0488542014210738,-0.04022257708923409,-0.19733436749737293,52.2550955875,4.5768192625,-1.0004981331250002,0.0,0.0,13.964999915,2.0,-25.81229447193046,2.59276733002455,33.709708398244544,1000.2959240709274,4.0
std,0.09156307372599154,0.17450606281791792,0.05214769059580451,0.0009279964943958938,0.0018097778041433598,0.0010898630916107755,0.005854436363361085,0.0051575885027761,0.006625378410526702,9.508454870993438e-07,5.607377156142714e-06,3.3971820018323764e-06,0.0,0.0,0.5730950285349944,0.0,0.9926358174280054,1.2355433585742188,6.661915286581016,0.021494136985819253,5.656854249492381
min,1.9089449235618217,1.5534551191836088,9.1089761997853,-0.0018248581054132993,-0.005238365797626345,-0.0006879690415173569,-0.08420188963497834,-0.04573627432200709,-0.2120388539619,52.2550947,4.5768071,-1.000505014,0.0,0.0,13.40100002,2.0,-27.815999601999998,-0.4090999895510668,21.1056995681167,1000.242594333333,0.0
25%,2.088570006026684,1.8345611974621738,9.116487981720008,-0.0007366218771121648,-0.0016690875094867025,-9.710833165242746e-05,-0.04974004626291091,-0.04329371939110417,-0.20066809654299997,52.255094775,4.57681915,-1.00049904675,0.0,0.0,13.7497503775,2.0,-26.316199370758376,2.1767499488578346,30.069699322391696,1000.2834696666666,2.0
50%,2.220666743144998,1.9974253530620247,9.122900508843921,-8.124510180376e-05,-0.00026815664950000383,0.000308894197697429,-0.04829073389365671,-0.042806733250575026,-0.1983576679226663,52.2550955,4.57682,-1.0004980465000002,0.0,0.0,13.77499962,2.0,-25.78539938006669,2.692799938115,37.765199216300005,1000.2951782333334,4.0
75%,2.239729555866667,2.0021259988467532,9.194155362597993,3.217224749711699e-05,0.0004291973126393974,0.0008598946371732528,-0.04707080125787526,-0.039066339234379285,-0.19510962327233336,52.255095825,4.576821575,-1.000496232,0.0,0.0,13.9479999525,2.0,-25.49714941843338,3.1451499249808332,38.059049171041664,1000.30817665,6.0
max,2.256606398532003,2.0200360864723486,9.27216307806473,0.005038009243807923,0.006432444455656138,0.006769812234463736,-0.040454657077775825,-0.02856177310159748,-0.17335773627016643,52.2550974,4.5768263,-1.0004937790000001,0.0,0.0,15.29199982,2.0,-21.458040778384873,7.349278192259446,38.70169900853338,1000.3452067333332,8.0
