,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,3.0
mean,-0.0671160641001484,-8.937980804478654,-2.9748183148193257,0.1004108305248882,-0.1390590455552684,-0.011019617754655866,0.21037597200269678,-0.9373659299164109,-0.06859834869250277,52.255771707794,4.574337185687759,-1.7547430989311337,4.208162527551421,211.10697625183167,5.254668851770492,3.146809007710382,18.396568428255026,44.97470696720763,9.265466530260241,1000.2692213672974,2.6666666666666665
std,2.646213576213346,1.0957679572403338,0.7632667261387628,0.23339499443115053,0.3769232289221967,0.027166954550985986,0.7592942447261666,1.1900164449294475,0.4593467510404936,0.001827400926966884,0.0021469876599224964,1.3855963361719226,0.40247480596212154,96.95877504657349,0.8572229658067358,0.15054980528311973,13.364245833481233,7.420549540702413,18.64085538720038,0.0802154136887113,2.3094010767585034
min,-2.871800681173884,-10.8969192124,-4.130294334466992,0.0005497127451185927,-0.9041892981560002,-0.04358203050129443,-0.3084674218592719,-2.7652487997128334,-0.5909591940372889,52.253885091803284,4.5720121432,-3.7300721230000007,3.7019034147166665,60.374333702825005,4.233333333333333,3.0,-4.362981680021919,36.73946594799069,-9.517559799028392,1000.1762744146649,0.0
25%,-2.265815181617095,-9.17724847684665,-3.209654084122595,0.003508754795424014,-0.03720012856360585,-0.03309433369236875,-0.20100905920028667,-1.6837116655725615,-0.26431019805505546,52.25427689666669,4.573605208800001,-2.4360746080466673,3.95107944405,177.222179253,4.7,3.0413702766166666,15.139539851947422,40.12331160772494,-4.775250516629767,1000.2362485301004,2.0
50%,-0.25709878316785906,-8.783584224410198,-3.126975298913683,0.006242683731585583,0.0018144837688132288,-0.007071357296931117,-0.023710901920318956,-0.3177797513441336,-0.12529747646039271,52.25559993266667,4.574009825566667,-1.519064502106667,4.181864976883335,234.2754314,5.273344258852459,3.0813794453499996,19.786903638263414,42.648859918618,3.765902303017495,1000.2387508400005,4.0
75%,2.1333619120946756,-8.146863058835926,-2.4115592860889787,0.009099869649148384,0.04256842159854175,0.004046228873911311,0.11069341284085715,-0.11027085506973835,-0.06063312679784788,52.25676675066668,4.5742042132,-0.9487581749075001,4.522060060533332,282.72535399833333,5.6,3.2653344888852454,24.814351473953216,50.70518378500699,23.99217133663519,1000.3096389683867,4.0
max,2.9885070334933648,-7.920704601014883,-2.0543639956152884,0.5767801928359999,0.06025798908605757,0.02562360679387731,1.722758651581784,-0.043263750470387094,0.7796901703000001,52.25832986716666,4.57785453767213,-0.13974608659483326,4.683904741573771,300.93758290499994,6.466666666666667,3.3459608277,35.08799896399999,55.138968773455254,34.46659481655928,1000.3851940833342,4.0
