,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,1200.0,1200.0,1200.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1201.0,1201.0,1201.0,1201.0,2.0
mean,2.172438946688114,1.893778468133633,9.154384791623825,-0.0002360059448578827,-0.0007041628046114342,0.000474108292698815,-0.048866016158891024,-0.04019580377862208,-0.1971639924639842,52.255095587499994,4.5768192625,-1.000498133125,0.0,0.0,13.964999915,2.0,-25.775533468568103,2.636980975302658,33.669233985039355,1000.2953072177352,4.0
std,0.09921698899311969,0.178668562377237,0.0545262876047993,0.01395628523640185,0.00958907466895885,0.006318074561305185,0.022572320555042033,0.013636839710347086,0.0111524852906598,9.508454870993438e-07,5.607377156142714e-06,3.3971820018323764e-06,0.0,0.0,0.5730950285349944,0.0,1.079801223524498,1.4752091778862844,6.772952763339215,0.02445086621312507,5.656854249492381
min,1.4581708231280002,1.49036902808,8.912869911184,-0.24631675023151986,-0.16244983709371208,-0.029514565180791996,-0.7356091371076923,-0.25879560231879994,-0.3248167800844,52.2550947,4.5768071,-1.000505014,0.0,0.0,13.40100002,2.0,-30.568799361600007,-6.707999782599997,18.110399473999998,1000.215332,0.0
25%,2.0918491725279993,1.7057723515660006,9.115818244908006,-0.0009492846110368002,-0.0025448646007056007,-0.0009358455632336,-0.05173744201799999,-0.04418489932960001,-0.20212493896800002,52.255094775,4.57681915,-1.00049904675,0.0,0.0,13.7497503775,2.0,-26.311199339999998,2.205599918320001,26.932799301599992,1000.2801509999999,2.0
50%,2.21909050754,1.9962026791959997,9.123393737748003,-0.0002571742513343996,-0.00048747046265680045,0.0005051855508891194,-0.04832186698880001,-0.0421217632296,-0.197652626028,52.2550955,4.57682,-1.0004980465000002,0.0,0.0,13.77499962,2.0,-25.7663994608,2.7335999488399993,37.78799926720001,1000.2958986666666,4.0
75%,2.243521683253999,2.002092586298,9.207466318118001,0.0002480112582208001,0.0015088371339272012,0.0015118914986472004,-0.044558429717200004,-0.0384223222736,-0.193041114804,52.255095825,4.576821575,-1.000496232,0.0,0.0,13.9479999525,2.0,-25.435199433200005,3.18479990008,38.15039916959999,1000.31014,6.0
max,2.385004180912001,2.6921992111440005,9.388755989071997,0.32118683614703214,0.1382717914802936,0.16553226384511996,0.018845071792399998,0.20766178660692303,-0.08935226440079999,52.2550974,4.5768263,-1.0004937790000001,0.0,0.0,15.29199982,2.0,-16.9751995856,15.741599693600001,49.912799072399984,1000.376953,8.0
