,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,1200.0,1200.0,1200.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1201.0,1201.0,1201.0,1200.0,1.0
mean,1.4395641972312987,0.15842961649328907,9.455096361602846,-0.00037348211696647726,-0.0010514506693147883,0.0005536318196223361,-0.040766655092609475,-0.0026479321408828535,-0.23988678452119352,52.2550939625,4.5768153125,-0.9130038546750001,0.0,0.0,14.5817499175,2.0,19.70589904081321,-7.143892370421649,-5.284313834414373,1000.2773845476389,8.0
std,0.0021516608409610748,0.0062756785243680705,0.007480747819917201,0.00015992534229629084,0.00022834863884267032,0.00020147950864615128,0.06656358357276979,0.03467136548877468,0.05746689070589265,3.423422472493674e-06,4.312916646457942e-06,0.03535285935797557,0.0,0.0,0.22292968832934126,0.0,0.17867129091007508,0.15759546836966826,0.23686443232772086,0.02644492062336762,
min,1.429765143408,0.146165690664,9.433251235959995,-0.002468506490359199,-0.0027837129236919994,-0.001192408912275,-1.8106884772846155,-0.3136112506546155,-2.21334089277212,52.2550889,4.5768103,-1.000497717,0.0,0.0,14.12699986,2.0,19.0775995648,-7.631999778800001,-6.004799899999998,1000.1689453333332,8.0
25%,1.4384324154500003,0.15271163591820003,9.449431718822,-0.0004630358507144001,-0.0011777482031520004,0.00045875978709920004,-0.039471049308799994,-0.004221665263112,-0.24343761444400003,52.2550915,4.576811725,-0.90050804645,0.0,0.0,14.5607497725,2.0,19.581599502400003,-7.2527998352399985,-5.4647998618799996,1000.2595416666667,8.0
50%,1.4397349038200002,0.1572368143244,9.455125286080001,-0.00038301249982800007,-0.001067181584746399,0.0005638286194159998,-0.0381692838672,-0.0031792414187075996,-0.23844795226799997,52.2550937,4.5768147,-0.9005053249499999,0.0,0.0,14.637499810000001,2.0,19.7087995916,-7.144799823799998,-5.28239988324,1000.27966325,8.0
75%,1.4410661210679998,0.1646925849054,9.460469324078002,-0.00030176741437919994,-0.0009621127512080006,0.0006737843409591995,-0.036829872131199995,-0.0020736944669920002,-0.23296394347600002,52.255096574999996,4.576818374999999,-0.9005030527,0.0,0.0,14.6744999875,2.0,19.826399384,-7.04399982444,-5.11679985044,1000.2977295000001,8.0
max,1.444647953048,0.17087460386880007,9.487802368191996,0.0013921618955663989,0.00043676863143280093,0.0011263573079879994,0.023778834344480006,1.14056152342,-0.18790338588653854,52.2550993,4.5768216,-0.9004989721,0.0,0.0,14.875,2.0,20.270399627600003,-6.65519989016,-4.403999862639999,1000.3374836666666,8.0
