,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm)
count,1201.0,1201.0,1201.0,1200.0,1200.0,1200.0,1201.0,1201.0,1201.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,1201.0,1201.0,1201.0,1200.0,10.0
mean,-0.5385396286444534,-8.548181232617871,-2.953513311392627,0.005593215396390448,0.013119842573855732,-0.005019965674981243,0.24846479421039014,-0.7028386200141289,-0.2383351881657386,52.25576543996678,4.574348871242525,-1.761305653828372,4.209743066468439,211.18394786361958,5.254730896312292,3.1472027800730897,15.072547739880678,45.809027388071414,5.211793145433646,1000.2692884738334,3.6
std,2.945999245875925,2.220776997579204,2.1738226045258506,0.5388102654850085,0.5219316085038723,0.628312718103635,1.6063426006305697,2.1603906575390583,1.8436941496216934,0.0016886790066690984,0.002089696101253236,1.6492608735905874,0.5889320512813311,112.88372319405065,2.766580935502981,0.2927957974032358,19.43041149270011,13.11935282926426,21.392129319905994,0.10538634362755057,3.9777157040470135
min,-5.887100356968,-12.083291999792,-7.644498100311998,-2.1238843813519996,-3.0650689001119993,-4.9860849333039985,-2.9476985836,-13.7684064104,-15.848831825600003,52.2534985,4.571384799,-5.216259534,0.0,0.0,3.0,2.0,-53.992798767199986,-30.2303990936,-59.17919891360001,999.9871419333332,0.0
25%,-2.8666939735680015,-9.567943512000001,-3.740757491104002,-0.2882856339330519,-0.3730468510215862,-0.3839324721163078,-0.6091229247600001,-0.7547657394476001,-0.6427884102408001,52.25425543,4.572794585,-3.005745848,3.813011646,61.91160202,4.0,3.0,6.926399955800003,39.700799103600005,-9.103199653319999,1000.176879875,0.0
50%,-1.4259343078504,-8.959184799088,-3.1830255461120007,-0.06473094668133411,0.007192330188288038,-0.0373214198891309,-0.0878581333188,-0.26754825595919995,-0.17433018210976395,52.25561416,4.5739470980000005,-1.6997486609999999,4.072953224,267.45733640000003,6.0,3.0,17.3807995608,50.13119888360001,3.887999894528,1000.2943725,2.0
75%,1.866212708455999,-8.330773849480002,-2.7949614887280005,0.22267138028463007,0.37452636843158,0.38359038792042605,0.4655513500992,0.08053018581359997,0.46401347162420004,52.2572273,4.575100566000001,-0.8186463222,4.651410103,306.1175537,6.0,3.192383289,23.944799346,54.7127987664,19.3127997584,1000.3493857916666,8.0
max,14.127447280984002,5.181306472776,10.024905200711997,3.074158565705705,3.405986081478571,5.20438862849992,8.74241882324,4.287290985647998,3.1017106341684,52.2587481,4.579206745,4.300988035,5.457578182000001,351.1676025,46.67399979,4.30745554,66.9839987172,63.2663981632,51.0431985464,1000.5928546666668,8.0
