"Time (s)","Illuminance (lx)"
2.899346074E2,2.650000000E2
2.902945624E2,2.660000000E2
2.904745484E2,2.670000000E2
2.906545264E2,2.660000000E2
2.915544164E2,2.670000000E2
2.920943494E2,2.680000000E2
2.922743274E2,2.470000000E2
2.924543044E2,2.660000000E2
2.926342914E2,2.790000000E2
2.928142694E2,2.820000000E2
2.929943209E2,2.840000000E2
2.933542759E2,2.820000000E2
2.938942179E2,2.830000000E2
2.965939111E2,2.840000000E2
2.967738881E2,2.830000000E2
2.971338461E2,2.820000000E2
2.974938011E2,2.810000000E2
2.976737801E2,2.820000000E2
2.978537571E2,2.810000000E2
2.983937001E2,2.800000000E2
2.987536551E2,2.810000000E2
2.992935951E2,2.800000000E2
2.994735741E2,2.810000000E2
2.996535501E2,2.820000000E2
2.998335271E2,2.810000000E2
