"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.121837160E-1,-9.941184521E-2,-4.942107201E-2,-1.984024048E-1
8.221824160E-1,-1.297218800E-1,-5.678331852E-2,-2.128925323E-1
8.321810820E-1,-1.280627251E-1,-4.483497143E-2,-1.868705750E-1
8.421798150E-1,-1.237143278E-1,-5.685234070E-2,-2.039976120E-1
8.521785480E-1,-8.807325363E-2,-3.504097462E-2,-2.068452835E-1
8.621772140E-1,-6.698560715E-2,-3.029286861E-2,-2.000255585E-1
8.721759470E-1,-4.437398911E-2,-2.577471733E-2,-2.265176773E-1
8.821746800E-1,-2.216541767E-2,-2.636456490E-2,-2.313289642E-1
8.921734130E-1,-2.679467201E-2,-3.165543079E-2,-2.193002701E-1
9.021721790E-1,-2.388966084E-2,-6.320810318E-2,-2.312946320E-1
9.121709450E-1,-2.348899841E-2,-6.100654602E-2,-2.337331772E-1
9.221697110E-1,-4.423403740E-2,-8.495414257E-2,-2.410669327E-1
9.321682770E-1,-9.364581108E-2,-6.939113140E-2,-2.151060104E-1
9.421669770E-1,-7.065868378E-2,-4.869604111E-2,-2.300157547E-1
9.521657430E-1,-8.368229866E-2,-3.514015675E-2,-2.185783386E-1
9.621645090E-1,-7.802081108E-2,-2.435040474E-2,-2.333221436E-1
9.721632090E-1,-6.309390068E-2,-2.139067650E-2,-1.928253174E-1
9.821620090E-1,-3.174412251E-2,-2.610456944E-2,-1.785154343E-1
9.921608090E-1,-4.146993160E-2,-1.448559761E-2,-1.784257889E-1
1.002159509E0,-4.145395756E-2,-3.412830830E-2,-2.022867203E-1
1.012158275E0,-4.850482941E-2,-2.257978916E-2,-2.118148804E-1
1.022157008E0,-3.797984123E-2,-3.276276588E-2,-2.214660645E-1
1.032155741E0,-2.489352226E-2,-2.136671543E-2,-2.191839218E-1
1.042154507E0,-3.107047081E-2,-5.085420609E-2,-2.431850433E-1
1.052153273E0,-3.088319302E-2,-4.844117165E-2,-2.575893402E-1
1.062152039E0,-2.808165550E-2,-4.838502407E-2,-2.600708008E-1
1.072150805E0,-2.876698971E-2,-4.373359680E-2,-2.431564331E-1
1.082149505E0,-2.782213688E-2,-4.135823250E-2,-2.261180878E-1
