"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.110302493E0,-2.381999969E1,2.939999819E0,2.100000000E1
1.120301159E0,-2.376000023E1,2.759999990E0,2.081999969E1
1.130299959E0,-2.393999863E1,2.759999990E0,2.063999939E1
1.140298725E0,-2.405999947E1,2.519999981E0,2.045999908E1
1.150297491E0,-2.393999863E1,2.639999866E0,2.105999947E1
1.160296257E0,-2.423999977E1,2.639999866E0,2.142000008E1
1.170295023E0,-2.423999977E1,2.339999914E0,2.171999931E1
1.180293789E0,-2.393999863E1,2.339999914E0,2.142000008E1
1.190292589E0,-2.411999893E1,2.099999905E0,2.118000031E1
1.200291422E0,-2.411999893E1,2.039999962E0,2.069999886E1
1.210290288E0,-2.381999969E1,2.339999914E0,2.057999992E1
1.220289221E0,-2.369999886E1,2.339999914E0,2.069999886E1
1.230288121E0,-2.357999992E1,2.399999857E0,2.076000023E1
1.240287054E0,-2.357999992E1,2.460000038E0,2.076000023E1
1.250286020E0,-2.369999886E1,2.879999876E0,2.045999908E1
1.260285020E0,-2.381999969E1,2.759999990E0,2.045999908E1
1.270284053E0,-2.418000031E1,2.759999990E0,2.015999985E1
1.280283086E0,-2.418000031E1,2.939999819E0,2.015999985E1
1.290282119E0,-2.442000008E1,2.579999924E0,2.069999886E1
1.300281185E0,-2.489999962E1,2.519999981E0,2.076000023E1
1.310280418E0,-2.484000015E1,2.279999971E0,2.087999916E1
1.320279451E0,-2.477999878E1,1.860000014E0,2.105999947E1
1.330278551E0,-2.519999886E1,1.979999900E0,2.118000031E1
1.340277584E0,-2.495999908E1,2.399999857E0,2.147999954E1
1.350276617E0,-2.507999992E1,2.399999857E0,2.171999931E1
1.360275683E0,-2.489999962E1,2.339999914E0,2.184000015E1
1.370274683E0,-2.442000008E1,2.339999914E0,2.171999931E1
1.380273749E0,-2.405999947E1,2.339999914E0,2.207999992E1
1.390272815E0,-2.387999916E1,2.399999857E0,2.219999886E1
1.400271881E0,-2.423999977E1,2.759999990E0,2.237999916E1
1.410270947E0,-2.393999863E1,2.700000048E0,2.207999992E1
1.420270047E0,-2.387999916E1,2.519999981E0,2.195999908E1
1.430269147E0,-2.381999969E1,2.759999990E0,2.135999870E1
1.440268213E0,-2.369999886E1,2.819999933E0,2.142000008E1
1.450267213E0,-2.376000023E1,3.119999886E0,2.171999931E1
1.460266279E0,-2.387999916E1,3.179999828E0,2.165999985E1
1.470265345E0,-2.369999886E1,3.240000010E0,2.207999992E1
1.480264345E0,-2.363999939E1,3.599999905E0,2.207999992E1
1.490263378E0,-2.400000000E1,3.419999838E0,2.231999969E1
1.500262311E0,-2.423999977E1,3.720000029E0,2.237999916E1
1.510261244E0,-2.477999878E1,3.659999847E0,2.237999916E1
1.520260110E0,-2.460000038E1,3.240000010E0,2.213999939E1
1.530258943E0,-2.442000008E1,3.359999895E0,2.207999992E1
1.540257809E0,-2.411999893E1,3.179999828E0,2.195999908E1
1.550256642E0,-2.369999886E1,3.119999886E0,2.165999985E1
1.560255375E0,-2.387999916E1,3.359999895E0,2.147999954E1
1.570254141E0,-2.351999855E1,3.179999828E0,2.111999893E1
1.580252907E0,-2.345999908E1,3.359999895E0,2.076000023E1
1.590251607E0,-2.345999908E1,3.599999905E0,2.076000023E1
1.600250340E0,-2.334000015E1,3.480000019E0,2.076000023E1
1.610248906E0,-2.334000015E1,3.599999905E0,2.093999863E1
1.620247606E0,-2.310000038E1,3.539999962E0,2.111999893E1
1.630246339E0,-2.315999985E1,3.059999943E0,2.153999901E1
1.640245105E0,-2.315999985E1,3.299999952E0,2.177999878E1
1.650243905E0,-2.321999931E1,3.299999952E0,2.160000038E1
1.660242671E0,-2.339999962E1,3.419999838E0,2.202000046E1
1.670241437E0,-2.315999985E1,3.599999905E0,2.213999939E1
1.680240203E0,-2.345999908E1,3.539999962E0,2.202000046E1
1.690238969E0,-2.393999863E1,3.359999895E0,2.184000015E1
1.700237669E0,-2.405999947E1,2.939999819E0,2.093999863E1
1.710236435E0,-2.429999924E1,3.480000019E0,2.039999962E1
