"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.468877330E-1,-2.000000030E-1,-4.179999924E1,1.380000019E1
2.469565320E-1,-5.000000000E-1,-4.190000153E1,1.369999981E1
3.470273280E-1,-2.000000030E-1,-4.190000153E1,1.260000038E1
4.470923580E-1,0.000000000E0,-4.190000153E1,1.140000057E1
5.471615890E-1,-1.000000015E-1,-4.210000229E1,1.069999981E1
6.472248200E-1,-4.000000060E-1,-4.210000229E1,1.069999981E1
7.472921160E-1,-6.999999881E-1,-4.210000229E1,1.090000057E1
8.473568130E-1,-9.000000358E-1,-4.190000153E1,1.110000038E1
9.474243770E-1,-1.300000072E0,-4.160000229E1,1.110000038E1
1.047489707E0,-1.600000024E0,-4.140000153E1,1.100000000E1
1.147555570E0,-1.899999976E0,-4.120000076E1,1.119999981E1
1.247622169E0,-2.200000048E0,-4.129999924E1,1.150000000E1
1.347702233E0,-2.500000000E0,-4.129999924E1,1.169999981E1
1.447769331E0,-2.500000000E0,-4.150000000E1,1.169999981E1
1.547842028E0,-2.200000048E0,-4.170000076E1,1.130000019E1
1.647899092E0,-1.600000024E0,-4.179999924E1,1.130000019E1
1.747967256E0,-8.000000119E-1,-4.210000229E1,1.140000057E1
1.848035919E0,2.000000030E-1,-4.229999924E1,1.180000019E1
1.948101951E0,1.300000072E0,-4.250000000E1,1.160000038E1
2.048175216E0,2.200000048E0,-4.250000000E1,1.210000038E1
2.148241312E0,2.900000095E0,-4.279999924E1,1.180000019E1
2.248308043E0,3.700000048E0,-4.300000000E1,1.150000000E1
2.348369074E0,4.900000095E0,-4.350000000E1,1.019999981E1
2.448430972E0,6.099999905E0,-4.379999924E1,9.300000191E0
2.548498536E0,7.200000286E0,-4.429999924E1,8.400000572E0
2.648567000E0,8.199999809E0,-4.450000000E1,6.800000191E0
2.748633931E0,8.900000572E0,-4.479999924E1,5.200000286E0
2.848700695E0,9.600000381E0,-4.479999924E1,4.000000000E0
2.948767493E0,1.010000038E1,-4.479999924E1,3.100000143E0
3.048835724E0,1.060000038E1,-4.470000076E1,2.100000143E0
3.148907721E0,1.119999981E1,-4.479999924E1,6.000000238E-1
3.248973453E0,1.160000038E1,-4.479999924E1,-6.999999881E-1
3.349038450E0,1.169999981E1,-4.490000153E1,-2.400000095E0
3.449107781E0,1.169999981E1,-4.490000153E1,-4.000000000E0
3.549174878E0,1.160000038E1,-4.510000229E1,-5.099999905E0
3.649243141E0,1.210000038E1,-4.520000076E1,-5.900000095E0
3.749312239E0,1.230000019E1,-4.529999924E1,-6.099999905E0
3.849380104E0,1.280000019E1,-4.529999924E1,-6.500000000E0
3.949447536E0,1.319999981E1,-4.500000000E1,-7.400000095E0
4.049506501E0,1.400000000E1,-4.470000076E1,-8.400000572E0
4.149574633E0,1.490000057E1,-4.440000153E1,-9.000000000E0
4.249641165E0,1.569999981E1,-4.450000000E1,-8.300000191E0
4.353005793E0,1.600000000E1,-4.460000229E1,-7.599999905E0
4.453075525E0,1.630000114E1,-4.470000076E1,-7.099999905E0
4.553143589E0,1.630000114E1,-4.479999924E1,-7.099999905E0
4.653214420E0,1.670000076E1,-4.479999924E1,-7.000000000E0
4.753278051E0,1.720000076E1,-4.460000229E1,-7.000000000E0
4.853344816E0,1.820000076E1,-4.429999924E1,-6.800000191E0
4.953409013E0,1.910000038E1,-4.400000000E1,-6.700000286E0
5.053476078E0,1.970000076E1,-4.390000153E1,-6.500000000E0
5.153543276E0,1.970000076E1,-4.400000000E1,-6.300000191E0
5.253608274E0,1.939999962E1,-4.429999924E1,-6.000000000E0
5.353674605E0,1.880000114E1,-4.470000076E1,-5.500000000E0
5.453741703E0,1.810000038E1,-4.520000076E1,-5.000000000E0
5.553809834E0,1.739999962E1,-4.560000229E1,-4.800000191E0
