"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.603704377E1,5.238557022E1,5.208474699E0,-8.293859752E0,3.395476341E0,3.407480164E2,8.000000000E0,0.000000000E0
4.702179092E1,5.238559994E1,5.208459867E0,-8.349793886E0,3.381891012E0,3.426574707E2,8.000000000E0,0.000000000E0
4.804594404E1,5.238562807E1,5.208444691E0,-8.403369550E0,3.369361639E0,3.436142883E2,8.000000000E0,0.000000000E0
4.902937504E1,5.238565414E1,5.208433115E0,-8.456768170E0,3.357630014E0,3.437044067E2,8.000000000E0,0.000000000E0
5.002363773E1,5.238568198E1,5.208420882E0,-8.506747759E0,3.346021414E0,3.449357910E2,8.000000000E0,0.000000000E0
5.104532511E1,5.238571493E1,5.208413088E0,-8.554003384E0,3.331153631E0,3.447958374E2,8.000000000E0,0.000000000E0
5.202380723E1,5.238574743E1,5.208395533E0,-8.599938716E0,3.317330599E0,3.436299133E2,8.000000000E0,0.000000000E0
5.301679265E1,5.238578386E1,5.208376420E0,-8.646279097E0,3.312750340E0,3.442010498E2,8.000000000E0,0.000000000E0
5.402180565E1,5.238582190E1,5.208352510E0,-8.686665666E0,3.327189922E0,3.463330994E2,8.000000000E0,0.000000000E0
5.502252107E1,5.238585904E1,5.208334144E0,-8.721526298E0,3.354284286E0,3.452572937E2,8.000000000E0,0.000000000E0
5.603065992E1,5.238589516E1,5.208311548E0,-8.758795611E0,3.388796806E0,3.457693787E2,8.000000000E0,0.000000000E0
5.704111672E1,5.238592749E1,5.208296017E0,-8.799153912E0,3.439150810E0,3.451362305E2,8.000000000E0,0.000000000E0
5.802376553E1,5.238595770E1,5.208285568E0,-8.840607109E0,3.472803831E0,3.440605164E2,8.000000000E0,0.000000000E0
5.902208938E1,5.238599498E1,5.208276367E0,-8.879501416E0,3.492796183E0,3.541546631E2,8.000000000E0,0.000000000E0
6.002271572E1,5.238602999E1,5.208270718E0,-8.920089818E0,3.490314007E0,1.193265080E0,8.000000000E0,0.000000000E0
6.103155899E1,5.238607345E1,5.208285453E0,-8.953891427E0,3.459512472E0,2.796171761E1,8.000000000E0,0.000000000E0
6.207918326E1,5.238608903E1,5.208295690E0,-8.998002112E0,3.394434929E0,4.976578522E1,8.000000000E0,0.000000000E0
6.306273872E1,5.238610265E1,5.208316788E0,-9.057166602E0,3.292682648E0,6.734413910E1,8.000000000E0,0.000000000E0
6.402951822E1,5.238611191E1,5.208363052E0,-9.122466017E0,3.209834814E0,7.463890839E1,8.000000000E0,0.000000000E0
6.509432568E1,5.238611733E1,5.208404197E0,-9.197176949E0,3.173093081E0,7.559916687E1,8.000000000E0,0.000000000E0
6.607457887E1,5.238612659E1,5.208464957E0,-9.278823007E0,3.170205593E0,7.510388184E1,8.000000000E0,0.000000000E0
6.703080979E1,5.238613826E1,5.208521318E0,-9.363695824E0,3.182760477E0,7.352895355E1,8.000000000E0,0.000000000E0
6.803004575E1,5.238615396E1,5.208579770E0,-9.452009991E0,3.210414410E0,7.368692017E1,8.000000000E0,0.000000000E0
6.902150479E1,5.238617424E1,5.208642810E0,-9.538889758E0,3.231825829E0,7.355319214E1,8.000000000E0,0.000000000E0
7.003117002E1,5.238619314E1,5.208713031E0,-9.625276113E0,3.264980316E0,7.598545074E1,8.000000000E0,0.000000000E0
7.102388864E1,5.238620284E1,5.208784839E0,-9.713762986E0,3.322162628E0,7.598445129E1,8.000000000E0,0.000000000E0
7.202756033E1,5.238621635E1,5.208852472E0,-9.804765914E0,3.386414051E0,7.746878052E1,8.000000000E0,0.000000000E0
7.301909363E1,5.238622304E1,5.208911551E0,-9.896591821E0,3.437448978E0,7.719837952E1,8.000000000E0,0.000000000E0
7.403414863E1,5.238623957E1,5.208974929E0,-9.982260464E0,3.488765001E0,7.946234894E1,8.000000000E0,0.000000000E0
7.502998782E1,5.238625177E1,5.209032939E0,-1.006580272E1,3.531843662E0,7.952008057E1,8.000000000E0,0.000000000E0
