"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.605867889E0,-1.463962793E-1,-1.216058731E-1,3.589414954E-1
8.705937085E0,4.127951860E-1,3.294887543E-1,2.919716835E-1
8.806000449E0,-1.544958353E-1,-1.293163300E-1,1.699802876E-1
8.906067047E0,-4.356545210E-1,7.329683304E-1,1.006257534E-1
9.006131345E0,-5.358290672E-2,-4.649868011E-1,-1.594052315E-1
9.106203776E0,-5.641758442E-1,7.321071625E-2,-7.524210811E-1
9.206267907E0,4.940696359E-1,2.780284882E-1,3.020632267E-2
9.306335970E0,-1.749317646E-1,3.460121155E-2,-6.884491444E-2
9.406396333E0,-9.467601776E-3,-6.542243958E-1,1.617436409E-1
9.506468964E0,5.764901638E-3,9.047136307E-1,1.930307150E-1
9.606534727E0,7.322418690E-1,-2.498054504E-2,4.240983725E-1
9.706602024E0,2.470673323E-1,-4.869174957E-2,2.713696957E-1
9.806663255E0,-7.624551058E-1,-6.804285049E-1,3.945691586E-1
9.906731187E0,9.271147251E-1,1.703993797E0,5.254430771E-1
1.000679805E1,3.863024712E-1,5.583992004E-1,-1.391527653E-1
1.010686438E1,1.038479805E-1,-1.528131485E0,-1.033462286E-1
1.020693085E1,-4.301352501E-1,3.272495270E-1,-8.752003312E-1
1.030699698E1,-3.676576614E-1,1.010951042E0,-2.270098925E-1
1.040706438E1,-3.962657452E-1,-9.365816116E-1,-1.631782651E-1
1.050713151E1,1.809421778E-1,2.956485748E-2,1.705572605E-1
1.060720477E1,5.181717873E-1,4.320821762E-1,-2.700092196E-1
1.070727193E1,-8.738726974E-1,4.323291779E-2,-1.590646505E-1
1.080733937E1,3.705446720E-1,8.118114471E-1,-1.907484531E-1
1.090740713E1,-2.235972285E-1,-1.063808441E0,1.299040318E-1
1.100747409E1,-1.150765896E0,8.562202454E-1,-5.162839890E-1
1.110754156E1,-1.134592295E-1,8.208236694E-1,-6.845856905E-1
1.120760652E1,2.582130432E-1,-9.411334991E-1,2.347524166E-1
1.130767928E1,-1.548801064E-1,1.351895332E0,3.712612391E-1
1.140776175E1,-1.879183054E-1,-3.493833542E-1,1.450068951E-1
1.150782551E1,1.174286008E-1,-3.684139252E-2,-8.689504862E-2
1.160788818E1,-2.983437181E-1,-7.728500366E-1,-8.324630260E-1
1.170794424E1,-3.152011037E-1,1.091864586E0,-1.432936192E-1
1.180810923E1,4.664090872E-1,4.643793106E-1,-4.604237080E-1
1.190817549E1,-1.101136208E-2,9.037590027E-2,7.487707138E-1
1.200823816E1,-1.137810946E-1,-6.015329361E-1,-1.308102608E-1
1.210830558E1,7.504510880E-2,4.778900146E-1,9.190416336E-1
1.220837235E1,-5.725312233E-2,-1.799570560E0,-4.880297184E-2
1.230843965E1,-2.490248680E-1,-8.009433746E-2,-2.341986895E-1
1.240850674E1,4.828652143E-1,7.509870529E-1,1.225366592E-1
1.250857488E1,-1.497817039E-1,-1.391951561E0,2.638417482E-1
1.260864911E1,6.831109524E-1,1.748905182E-1,6.932210922E-1
1.270871444E1,-2.676965594E-1,7.070665359E-1,2.197344303E-1
1.280878080E1,-2.186572552E-1,-8.770046234E-1,6.694101095E-1
1.290884080E1,5.628982782E-1,-5.129518509E-1,-7.096207142E-2
1.300891096E1,2.659498453E-1,4.524145126E-1,1.084495783E-1
1.310898016E1,2.469468713E-1,-9.258537292E-1,2.466026545E-1
1.320904736E1,-7.430696487E-2,3.373317719E-1,1.589398384E-1
1.330911399E1,6.717283726E-1,9.402465820E-1,-1.794363260E-1
1.340918118E1,4.546610117E-1,-5.076169968E-1,-7.340745330E-1
1.350924895E1,1.249065995E-1,-4.764127731E-1,9.519314766E-2
1.360931541E1,9.686598778E-1,-9.182672501E-1,1.740257740E-1
1.370937861E1,4.658225775E-1,1.831680298E0,-2.067438364E-1
1.380944804E1,3.586103916E-1,-8.160552979E-1,6.079130173E-1
1.390951507E1,5.215479136E-1,-5.502157211E-1,4.314254522E-1
1.400958963E1,9.344136715E-1,6.738977432E-1,2.181601524E-2
1.410965350E1,-3.618029356E-1,-8.894701004E-1,-1.004809737E0
1.420972076E1,1.006600738E0,-1.827781200E0,6.742831469E-1
1.430978246E1,3.255037069E-1,8.527536392E-1,1.514041424E-2
1.440984992E1,7.782818079E-1,3.139745712E0,1.813196301E0
1.450991699E1,-3.158761859E-1,-1.173346519E0,-1.044327497E0
1.460998638E1,4.127935171E-1,-1.718975067E0,-1.565314651E0
1.471005115E1,1.473327994E0,3.095390320E0,-4.349724054E-1
1.481011825E1,-5.715175867E-1,-1.513957024E0,-1.695364714E-1
1.491018284E1,-8.242226839E-1,4.030466080E-1,-2.266057730E-1
1.501025204E1,1.087000847E0,1.101949692E0,1.331637502E0
1.511031914E1,-9.469962120E-1,-5.836229324E-1,-1.145746946E0
1.521038650E1,6.444299221E-2,-3.743610382E-1,-7.190970778E-1
1.531045690E1,8.428192139E-2,3.279638290E-1,9.431898594E-1
1.541053130E1,-4.956849217E-1,2.680006027E-1,6.088653803E-1
1.551059866E1,2.986828089E-1,4.064311981E-1,-1.067087412E0
1.561066259E1,-1.047683358E0,-7.921171188E-1,3.239560127E-2
1.571072079E1,-6.522414684E-1,2.333545685E-2,-4.268421531E-1
1.581078742E1,4.878407717E-1,1.788339615E-1,1.179984808E-1
1.591085908E1,1.763017178E-1,1.075537682E0,-8.784510493E-1
1.601092995E1,-5.795867443E-1,-1.630891323E0,-5.121336579E-1
1.611099801E1,3.301718235E-1,2.151659966E0,-5.971096158E-1
1.621106628E1,-1.192053795E0,-1.658090591E0,-1.374787092E-1
