"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.848676821E1,5.238655086E1,5.210163995E0,5.880662681E0,2.523083925E0,2.581850891E2,4.000000000E0,0.000000000E0
4.946321698E1,5.238654334E1,5.210118237E0,5.897807736E0,2.529746294E0,2.582712402E2,4.000000000E0,0.000000000E0
5.044007932E1,5.238653595E1,5.210074442E0,5.916120220E0,2.545329094E0,2.571988220E2,4.000000000E0,0.000000000E0
5.145389263E1,5.238652828E1,5.210030786E0,5.933992118E0,2.559805155E0,2.552014618E2,4.000000000E0,0.000000000E0
5.243956132E1,5.238652141E1,5.209991950E0,5.951641038E0,2.591072798E0,2.528977814E2,4.000000000E0,0.000000000E0
5.344238047E1,5.238651352E1,5.209953411E0,5.968305577E0,2.618321657E0,2.546959839E2,4.000000000E0,0.000000000E0
5.444210563E1,5.238650530E1,5.209910432E0,5.984961444E0,2.643170595E0,2.559509888E2,4.000000000E0,0.000000000E0
5.544744224E1,5.238649726E1,5.209866354E0,6.001382603E0,2.666841030E0,2.552031403E2,4.000000000E0,0.000000000E0
5.644476351E1,5.238649164E1,5.209829061E0,6.015753346E0,2.685185909E0,2.545145111E2,4.000000000E0,0.000000000E0
5.743938847E1,5.238648412E1,5.209788281E0,6.028694654E0,2.699538231E0,2.516013031E2,4.000000000E0,0.000000000E0
5.844863482E1,5.238647437E1,5.209744408E0,6.042128900E0,2.699482441E0,2.546401062E2,4.000000000E0,0.000000000E0
5.946557935E1,5.238646825E1,5.209707937E0,6.056098910E0,2.693377018E0,2.570207214E2,4.000000000E0,0.000000000E0
6.043792197E1,5.238646359E1,5.209673296E0,6.070321340E0,2.677962542E0,2.543303223E2,4.000000000E0,0.000000000E0
6.143283843E1,5.238645786E1,5.209639244E0,6.084126045E0,2.677123785E0,2.530268707E2,4.000000000E0,0.000000000E0
6.243888824E1,5.238645043E1,5.209600454E0,6.097804734E0,2.675446749E0,2.519613342E2,4.000000000E0,0.000000000E0
6.345335358E1,5.238644341E1,5.209565847E0,6.109627444E0,2.684416771E0,2.504764252E2,4.000000000E0,0.000000000E0
