"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.146517738E0,-2.737040997E0,-2.309251785E0,-1.565031528E0
9.246582769E0,-3.447333336E0,-1.575088501E0,-1.703848839E-1
9.346648099E0,1.533218861E0,4.303041458E0,2.192802429E0
9.446723130E0,1.018212557E0,-2.155204535E0,1.443292141E0
9.546801928E0,5.131474972E0,-3.691270828E0,-6.200323105E-1
9.646871992E0,3.616371870E0,6.278796196E-1,6.622787476E0
9.746930656E0,-5.584353924E0,1.884326935E0,4.872247696E0
9.846989453E0,-4.017107487E0,-2.280319214E0,-3.895358086E0
9.947059285E0,-2.151737213E0,-3.077993870E0,-4.020208359E0
1.004712808E1,-6.924072742E0,6.522929192E0,7.511631489E0
1.014719288E1,-1.116186380E0,9.103388786E-1,5.242595673E-1
1.024725995E1,4.277237415E0,-5.879683971E0,1.415565491E0
1.034732324E1,5.376972198E0,-1.858208179E0,1.248788834E0
1.044739001E1,-6.388100624E0,5.829407692E0,1.239319324E0
1.054746530E1,-2.616698742E0,3.340907097E-1,-4.329652786E0
1.064753450E1,-3.278443813E-1,-2.687206268E0,-5.661230564E0
1.074760123E1,-4.427911758E0,-9.044184685E-1,3.659058571E0
1.084765703E1,-1.228653193E0,3.775968075E0,2.920009136E0
1.094772540E1,4.729460716E0,-5.006802559E0,8.202257156E-1
1.104779686E1,6.684247971E0,-4.148454189E0,-4.545755863E0
1.114786399E1,-3.965810776E0,4.652751446E0,-4.927782059E0
1.124793032E1,-1.916073799E0,1.432871819E0,-2.709745407E0
1.134799202E1,-2.170104504E0,-1.029895782E0,-3.669136047E0
1.144806475E1,-4.258535385E0,-1.619147778E0,2.021679878E-1
1.154813125E1,1.270245194E0,3.564577103E0,2.751582623E0
1.164819931E1,3.057789326E0,-2.437814713E0,5.743408203E-2
1.174836724E1,3.577982426E0,-4.664063454E0,-2.447759151E0
1.184843474E1,3.705446959E0,1.151355743E0,-8.393020630E-1
1.194850220E1,-3.026743650E0,3.072917461E0,1.058505535E0
1.204856036E1,-3.859220505E0,-2.013985634E0,-2.400883675E0
1.214862746E1,-4.468084335E0,-3.552332163E0,-5.760006905E-1
1.224869423E1,-3.076618433E0,5.855287552E0,9.417278290E0
1.234875930E1,4.246750772E-1,7.091503143E-1,-3.168895960E0
1.244882573E1,5.659041882E0,-5.906841278E0,-1.272801399E0
1.254889449E1,3.172067881E0,-2.832232237E0,5.299627781E0
1.264896316E1,-5.992653370E0,5.478878975E0,4.362479687E0
1.274903129E1,-4.079701424E0,-1.329513073E0,-3.110653400E0
1.284909688E1,-1.719918251E0,-3.022629261E0,-4.548620224E0
1.294916501E1,-5.250340462E0,4.805583954E0,4.892767429E0
1.304923258E1,-1.437344193E0,1.642514706E0,1.837019920E-1
1.314929998E1,5.158352375E0,-4.825888634E0,-9.157838821E-1
1.324936707E1,4.730258942E0,-2.915171623E0,-3.948246717E0
1.334943350E1,-3.481511593E0,5.978712559E0,-2.892293930E-1
1.344950077E1,-2.350010872E0,3.350234032E-1,-3.441823006E0
1.354956787E1,1.835216880E-1,-1.896206856E0,-5.853440285E0
1.364963400E1,-2.848548889E0,-1.246963501E0,-3.028912544E-1
1.374970336E1,1.260721922E0,3.085444927E0,3.463077068E0
1.384977183E1,4.081462383E0,-2.247977257E0,-1.207477093E0
1.394984039E1,2.821633101E0,-4.825156212E0,-3.451117992E0
1.404990596E1,2.147572279E0,4.495061398E0,-1.617777824E0
1.414997776E1,-2.631503940E-1,2.920342445E0,-2.792496681E-1
1.425004449E1,-1.973936915E0,-1.690776348E0,-5.043188095E0
1.435011045E1,-2.110882998E0,-2.804619789E0,-2.968799591E0
1.445017342E1,3.150910616E0,5.068636417E0,3.004612446E0
1.455024055E1,1.467436314E0,6.038827896E-1,-1.716229916E0
1.465030688E1,5.271465778E0,-4.967375278E0,-1.178691864E0
1.475037058E1,2.285782337E0,-2.272637129E0,4.871337891E0
1.485043808E1,-7.598039150E0,4.771038055E0,1.198269272E1
1.495050991E1,-4.038360596E0,-1.205820084E0,-3.866803646E0
1.505057838E1,-3.930422783E0,-3.864840746E0,-5.089706898E0
1.515064517E1,-5.255022049E0,5.012570381E0,8.815289497E0
1.525070977E1,-7.447488308E-1,1.746032715E0,3.952946663E-1
1.535077677E1,6.843191624E0,-7.582367897E0,1.947684288E0
1.545084724E1,1.502031803E0,-2.644007683E0,2.002845764E0
1.555091450E1,-5.534312248E0,7.466969013E0,5.990141392E0
1.565098050E1,-2.834350586E0,7.806258202E-1,-4.759696960E0
1.575104323E1,-4.959130883E-1,-2.498640060E0,-5.645124912E0
1.585110996E1,-6.316667080E0,1.694926262E0,3.282908916E0
1.595117822E1,9.953975677E-2,2.890962124E0,-6.746020317E-1
1.605124602E1,4.182205200E0,-6.075710773E0,6.638555527E-1
1.615131382E1,3.120247841E0,-5.374048710E0,-3.185388088E0
1.625138078E1,1.943618059E0,3.165795326E0,-2.339022160E0
1.635144902E1,-5.474936485E0,3.447109699E0,3.833341122E0
1.645151818E1,-3.806518555E0,-3.017148256E0,-1.920474529E0
1.655158641E1,-4.641936302E0,-2.334034443E0,-6.228985786E-1
1.665165508E1,-1.329929352E0,7.879501343E0,6.625003338E0
1.675172047E1,2.041618824E0,-2.034054756E0,-2.406336784E0
1.685178684E1,7.315643311E0,-6.591407299E0,-2.502006054E0
1.695185150E1,9.358247519E-1,1.142015457E0,4.713297844E0
1.705191693E1,-6.381032944E0,3.613110065E0,2.731688976E0
1.715198436E1,-3.461336136E0,-1.992966175E0,-3.236133337E0
1.725205409E1,-3.763133049E0,-2.914311409E0,-3.450189114E0
1.735212076E1,-6.297114849E0,6.768322468E0,1.278000259E1
1.745218989E1,-2.093985081E0,1.872725487E-1,-6.681776047E-1
1.755225389E1,6.540623188E0,-6.969655037E0,2.712743759E0
1.765232558E1,4.199103832E0,-3.381451368E0,6.268006325E0
1.775239475E1,-1.089921093E1,7.778597832E0,-5.217214584E0
1.785246758E1,-2.310930729E0,-9.769201279E-2,-2.740498066E0
1.795253038E1,-6.788183451E-1,-3.631940842E0,-6.442554474E0
1.805259234E1,-6.690412521E0,1.625076294E0,4.701933861E-1
1.815265447E1,-1.449121237E-1,3.287876129E0,4.608205318E0
1.825272857E1,5.286150932E0,-5.150426865E0,1.087150097E0
1.835279626E1,4.828198433E0,-5.772698402E0,-4.290102959E0
1.845286373E1,-2.293525696E0,5.125235558E0,-4.217294693E0
1.855292952E1,-4.424096107E0,2.519577503E0,-1.901585102E0
1.865299539E1,-1.418773174E0,-1.914153576E0,-4.524565697E0
1.875306275E1,-4.860770702E0,-2.739449024E0,-1.332164764E0
1.885312395E1,1.637612820E0,7.332152843E0,7.615087986E0
1.895319265E1,4.963231087E-1,-2.551117897E0,-1.003882408E0
1.905319363E1,5.527535439E0,-8.712799072E0,-4.443919182E0
1.915326139E1,4.911861420E0,1.594049931E0,4.843358517E0
1.925332853E1,-3.857936382E0,4.375742435E0,4.729155064E0
1.935339566E1,-4.314129829E0,-1.610323906E0,1.809451103E0
1.945346246E1,-4.597703934E0,-4.726584435E0,-5.840803146E0
1.955352959E1,2.847868204E-1,8.900441170E0,1.239346313E1
1.965359582E1,-1.043194771E0,4.621839523E-2,-1.607983589E0
1.975366235E1,7.347988129E0,-5.388415813E0,-7.572636604E-1
1.985372935E1,3.253625631E0,-2.085706711E0,9.028759003E0
1.995380358E1,-7.990584373E0,6.413647652E0,1.215461063E1
2.005387168E1,-3.937336206E0,-1.271807194E0,-3.730290651E0
2.015394148E1,-2.578984022E0,-4.161993027E0,-8.188728333E0
2.025400231E1,-5.469985008E0,4.140906334E0,3.797947407E0
2.035407224E1,-1.142902851E0,1.694694042E0,2.085916042E0
2.045413687E1,4.782794952E0,-6.444950104E0,-1.011189461E0
2.055420380E1,5.712443829E0,-4.507920265E0,-6.690919399E0
2.065426767E1,-7.022629976E-1,5.902359009E0,-2.078193188E0
2.075433413E1,-3.832108974E0,1.359969616E0,-5.484347820E0
2.085440089E1,-2.231480598E0,-2.354561329E0,-5.705949306E0
2.095446852E1,-5.377303123E0,-1.241478920E0,-4.139757156E-1
2.105453632E1,3.171905518E0,5.196724892E0,1.602789879E0
2.115460462E1,8.425943851E-1,-2.496025085E0,4.907617569E-1
2.125467175E1,7.418551445E0,-6.278075218E0,-1.646876335E0
2.135473891E1,4.152141571E0,-1.630456924E0,-1.857905388E-1
2.145481201E1,-6.792885780E0,3.695869923E0,1.028863144E1
2.155487914E1,-5.787743568E0,-2.148551941E-1,-2.515445232E0
2.165494474E1,-6.475299358E0,-3.979834557E0,-4.619070530E0
2.175501037E1,-5.130097389E0,5.491197109E0,6.794631958E0
2.185507717E1,2.692347765E-1,7.829084396E-1,1.253036976E0
2.195514564E1,5.904952049E0,-6.893179417E0,-1.250589371E0
2.205520853E1,2.794379473E0,-3.691293240E0,5.950660229E0
2.215527573E1,-7.985006809E0,7.708352566E0,1.996182919E0
2.225534273E1,-3.366440773E0,-1.646280289E-2,-3.863162279E0
2.235540880E1,-2.569270611E0,-4.053810596E0,-6.731145859E0
2.245547813E1,-5.101638317E0,-5.430388451E-1,4.279095650E0
2.255554526E1,7.962042093E-1,3.376129150E0,3.356776714E0
2.265561136E1,5.460169792E0,-3.258658648E0,-2.035036087E0
2.275567576E1,5.099026203E0,-5.208235741E0,-3.171437740E0
2.285575532E1,2.114793777E0,8.843412399E-1,-6.913396835E0
2.295582878E1,-3.687872887E0,4.328279495E0,3.704658985E0
2.305589668E1,-6.516948223E0,-2.303915977E0,-3.907834053E0
2.315595171E1,-4.870465755E0,-4.068837166E0,-5.089230537E0
2.325601395E1,8.105527163E-1,6.795156956E0,1.678187180E1
2.335608044E1,1.745865226E0,-6.751298904E-1,-1.315088749E0
2.345614724E1,6.783632755E0,-7.238452435E0,-1.462656498E0
2.355621441E1,4.537814856E-1,-3.259562492E0,6.631351471E0
2.365628087E1,-8.090760231E0,4.706822872E0,1.563292027E1
2.375635563E1,-4.432557106E0,6.387476921E-1,-3.976405382E0
2.385642493E1,-4.559875965E0,-3.485165834E0,-5.906269550E0
2.395649436E1,-8.184623718E0,3.307977676E0,4.754645824E0
2.405655689E1,2.066487074E-1,1.700548649E0,2.166483879E0
2.415662802E1,7.013071537E0,-5.903263092E0,-2.733254433E-1
2.425669392E1,4.664660454E0,-6.946992874E0,-7.817931175E0
2.435675938E1,-5.303944588E0,6.043869019E0,5.531200409E0
2.445682002E1,-5.597217083E0,2.384603977E0,-1.331509590E0
2.455688648E1,-5.684071064E0,-3.444300652E0,-4.367406368E0
2.465695258E1,-7.401672840E0,-1.927121162E0,2.923297882E-2
2.475702041E1,5.951661110E0,2.664647102E0,4.202263832E0
2.485709157E1,3.617440462E-1,-3.096037865E0,-1.643605709E0
2.495715980E1,6.123554707E0,-6.370818138E0,-2.562792778E0
2.505722703E1,1.946531296E0,1.304665089E0,4.977389336E0
2.515729070E1,-4.959914207E0,4.724062920E0,4.901420116E0
2.525735680E1,-5.365875244E0,-2.823509216E0,-5.899312973E0
2.535742929E1,-5.300592422E0,-6.049757004E0,-6.953181267E0
2.545749762E1,-7.003270149E0,8.407077789E0,1.295292473E1
2.555756465E1,-3.487912416E0,1.583927155E0,2.000708580E0
2.565762602E1,3.849979401E0,-9.322011948E0,1.447389126E0
2.575769698E1,7.884541512E0,-5.368227482E0,-3.778178453E0
2.585776381E1,-4.398135185E0,1.126373196E1,8.635160446E0
2.595783701E1,-4.054723263E0,-1.021947861E-1,-2.607422829E0
2.605789937E1,-5.342112064E0,-4.510111809E0,-1.994803905E0
2.615796707E1,-7.063558102E0,3.414961815E0,3.038074493E0
2.625802793E1,2.808834076E0,2.803673744E0,2.421684265E-1
2.635832566E1,5.017011642E0,-6.142885208E0,-1.637392521E0
2.645839256E1,8.881826401E0,-6.351546288E0,-5.464516163E0
2.655846615E1,-2.138529301E0,3.177746773E0,-4.545643806E0
2.665852425E1,-6.130779266E0,3.681402683E0,4.585090160E0
