"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.075275962E0,-5.861667395E-1,-4.434350133E-1,-6.537388563E-1
9.175347716E0,8.854076266E-1,2.309602052E-1,-2.328526676E-1
9.275417229E0,6.935959458E-1,2.674421072E0,6.327434182E-1
9.375477809E0,-2.250774384E0,2.979853868E0,6.199152470E-1
9.475541690E0,-1.192144990E0,-1.193577528E0,1.207567573E0
9.575613136E0,1.298963428E0,-4.965803027E-1,2.369027138E-1
9.675677020E0,1.625776410E0,6.744483709E-1,-1.695874929E0
9.775746699E0,1.132739633E-1,-1.061019778E0,-2.169701755E-1
9.875817780E0,3.631178737E-1,-5.087975860E-1,6.341698021E-2
9.975884027E0,3.551765978E-1,1.423979998E0,3.645735383E-1
1.007594757E1,1.774148047E-1,-5.326213241E-1,2.238097191E0
1.017602089E1,-1.547057748E0,-1.942019910E-1,6.932190657E-1
1.027608557E1,1.237876773E0,-2.131388187E-1,9.247369766E-1
1.037614269E1,1.433964610E0,-1.328578711E0,-9.536736608E-1
1.047621273E1,-6.582488418E-1,-1.894850850E0,-9.964342117E-1
1.057629204E1,-2.746254504E-1,-2.565102577E-1,-2.780567110E-1
1.067635169E1,-1.591719389E-1,1.177801371E0,-8.382201791E-1
1.077642347E1,1.226881385E0,2.564465284E0,1.932664633E0
1.087649258E1,-2.144483805E0,1.501559973E0,1.170304775E0
1.097655423E1,-4.652154148E-1,8.289972544E-1,5.747112036E-1
1.107661748E1,3.606743813E-1,-2.064671278E0,-1.364175081E0
1.117668562E1,-1.205584049E0,-1.668830633E0,-1.514448047E0
1.127674997E1,-1.637465835E0,4.588129520E-1,-9.866604209E-1
1.137682279E1,2.152884603E-1,8.473232388E-1,-3.715190589E-1
1.147689040E1,1.033237100E0,1.943215489E0,1.509945869E0
1.157695951E1,-8.433409929E-1,2.642656326E0,1.268654108E0
1.167702316E1,-1.011328936E0,-8.527147174E-1,7.091015577E-1
1.177708063E1,6.465592980E-1,-3.927332163E-1,-4.264969528E-1
1.187714071E1,-1.982673109E-1,-6.389119029E-1,-1.676938057E0
1.197720319E1,-8.421192765E-1,-5.759928226E-1,-1.011705875E0
1.207727064E1,8.059951663E-1,-9.974898100E-1,-1.283947080E-1
1.217734062E1,5.848619342E-1,1.364726067E0,3.413606584E-1
1.227740483E1,6.380072236E-1,2.431775033E-1,2.073163509E0
1.237746624E1,-1.955115676E0,-2.071627229E-2,6.779474020E-1
1.247753976E1,2.720989287E-1,9.065771699E-1,-5.309548974E-1
1.257761295E1,2.496259212E0,-7.616958022E-1,-1.012927651E0
1.267767156E1,-2.581321001E-1,-2.013358593E0,-6.830603480E-1
1.277774361E1,-1.952129751E-1,-3.469183147E-1,-1.748204678E-1
1.287780826E1,2.696554661E-1,1.284702778E0,6.830389053E-2
1.297787474E1,4.290913045E-1,-3.744072616E-1,1.883795381E0
1.307794592E1,-1.969165683E0,2.938793302E-1,9.400085807E-1
1.317800933E1,-6.490858793E-1,3.635179698E-1,1.312230229E-1
1.327808141E1,8.243210912E-1,-2.514879227E0,-1.077068448E0
1.337814476E1,-3.577031195E-1,-1.861253262E0,-2.122869730E0
1.347821707E1,-6.863486171E-1,1.704845428E-1,-8.473831415E-1
1.357827795E1,1.022783890E-1,2.908250093E-1,-5.205702186E-1
1.367834093E1,1.841343343E-1,7.104894519E-1,1.239943504E0
1.377841638E1,-1.546446919E0,2.781933308E0,7.048255205E-1
1.387847996E1,-7.547655702E-1,-4.025070369E-1,2.821067274E-1
1.397854997E1,3.765568733E-1,-7.604740858E-1,-3.183737993E-1
1.407861368E1,-6.167100072E-1,-9.095252156E-1,-1.496732950E0
1.417868030E1,-4.963695407E-1,6.280226707E-1,-6.244173050E-1
1.427874781E1,5.427122116E-1,6.908091903E-2,-2.823327780E-1
1.437882509E1,3.209681511E-1,2.161905289E0,8.856415749E-1
1.447888870E1,-1.377848148E0,2.881504297E0,8.831981421E-1
1.457894955E1,-1.580044508E0,-5.210148692E-1,4.287143946E-1
1.467900680E1,2.537729740E-1,-5.979839563E-1,-6.372454762E-1
1.477908334E1,2.006345272E0,-8.747058511E-1,-1.422207236E0
1.487914972E1,5.769206882E-1,-1.444643140E0,-1.033492386E-1
1.497921694E1,5.329384208E-1,-3.114881217E-1,-1.497749984E-1
1.507928952E1,4.144305289E-1,1.623122096E0,2.393461615E-1
1.517935090E1,1.231157303E0,1.698736846E-1,2.441515446E0
1.527941984E1,-1.774910569E0,-1.819846928E-1,2.827175856E-1
1.537948702E1,5.549295545E-1,7.312588692E-1,-3.061564863E-1
1.547955634E1,2.096142530E0,-2.759225130E0,-4.912486672E-1
1.557962465E1,-4.511655271E-1,-2.035349846E0,-1.113720298E0
1.567967790E1,-5.293562412E-1,-4.458784759E-1,-7.227665782E-1
1.577975408E1,3.050856590E-1,1.312802553E0,-5.211811066E-1
1.587982173E1,1.025295734E0,1.876631260E0,1.849586964E0
1.597988698E1,-1.033930898E0,2.913269520E0,1.020031929E0
1.607995532E1,-7.388830781E-1,3.488571942E-1,4.800270796E-1
1.618002397E1,3.032530546E-1,-2.087273359E0,-8.663199544E-1
1.628010095E1,-5.140846372E-1,-1.587718129E-1,-2.195562840E0
1.638015647E1,-4.071832299E-1,-3.188185096E-1,-8.321114779E-1
1.648023822E1,1.104708195E0,-2.377059869E-2,-3.432146460E-2
1.658030024E1,3.234116137E-1,1.747738600E0,2.741655111E-1
1.668035498E1,-1.197031975E0,2.079438448E0,1.073788047E0
1.678043343E1,-1.461536646E0,-1.095228314E0,9.833800197E-1
1.688049601E1,7.295685261E-2,-9.585270286E-2,-6.775625348E-1
1.698056072E1,-3.333369270E-2,-8.233931661E-1,-1.227952123E0
1.708063350E1,-3.333369270E-2,-4.367155135E-1,-2.695045769E-1
1.718070792E1,1.858985052E-2,-5.784361959E-1,-7.746901512E-1
1.728075940E1,-3.822061419E-2,1.875409365E0,-2.078071833E-1
1.738083159E1,1.418692946E0,5.869621038E-2,1.928388596E0
1.748090160E1,-1.202529788E0,-3.921223581E-1,8.215007186E-1
1.758096818E1,8.334156871E-2,1.686519533E-1,-5.089637637E-1
1.768102867E1,1.974580288E0,-1.447086692E0,-1.360509872E0
1.778111379E1,-1.202529788E0,-4.140391827E0,-1.438700676E0
1.788118510E1,-1.799413562E-1,2.743316293E-1,-2.090289295E-1
1.798122985E1,4.443629086E-1,1.249272585E0,1.043449491E-1
1.808130230E1,3.618961275E-1,1.205901146E0,2.239929914E0
1.818136995E1,-1.779186487E0,2.616388798E0,1.129376888E0
1.828143783E1,-4.407808185E-1,-7.752674073E-2,-7.524943352E-2
1.838150061E1,2.275057733E-1,-2.767166615E0,-9.970450997E-1
1.848157480E1,-1.357689619E0,-1.546046734E0,-1.846758723E0
1.858163271E1,-1.253231525E0,1.246696562E-1,-5.932632089E-1
1.868169783E1,6.648852825E-1,5.962576270E-1,-5.187376142E-1
1.878177501E1,7.320804596E-1,2.425799131E0,8.679265380E-1
1.888183446E1,-8.665539026E-1,3.369585991E0,1.032860160E0
1.898194640E1,-8.305128217E-1,-1.551544547E0,8.300528526E-1
1.908201331E1,7.711758614E-1,-3.505834937E-1,7.380168140E-2
1.918208216E1,-3.644226789E-1,9.004685283E-1,-1.300034285E0
1.928214840E1,-2.966850251E-2,-4.220547378E-1,-4.008406103E-1
1.938221905E1,6.245681643E-1,6.823896766E-1,-1.015371084E0
1.948228193E1,4.040458202E-1,2.392812252E0,7.323144078E-1
1.958235167E1,-6.082263216E-2,1.371445656E0,1.080507517E0
1.968240762E1,-1.398006558E0,-1.623015881E0,9.919321537E-1
1.978248460E1,-2.856210470E-1,-3.720963374E-2,-7.447577715E-1
1.988256298E1,3.042983532E0,-1.957769990E0,-8.486048579E-1
1.998261836E1,9.880329967E-1,-3.676133871E0,-1.674900800E-1
2.008268691E1,-5.287454128E-1,-2.430712283E-1,-1.036751390E0
2.018275332E1,3.019629046E-2,1.571198583E0,-5.694394112E-1
2.028282037E1,5.610381961E-1,2.321341038E0,1.353564382E0
