"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.386678931E0,2.489999962E1,-2.800000000E1,-2.320000076E1
9.486750696E0,2.670000076E1,-2.589999962E1,-2.400000000E1
9.586830227E0,2.680000114E1,-2.700000000E1,-2.320000076E1
9.686894991E0,2.560000038E1,-2.760000038E1,-2.420000076E1
9.786956821E0,2.500000000E1,-2.760000038E1,-2.520000076E1
9.887015053E0,2.460000038E1,-2.730000114E1,-2.580000114E1
9.987087818E0,2.539999962E1,-2.600000000E1,-2.600000000E1
1.008715565E1,2.580000114E1,-2.750000000E1,-2.310000038E1
1.018722321E1,2.660000038E1,-2.900000000E1,-2.060000038E1
1.028728478E1,2.610000038E1,-2.930000114E1,-2.100000000E1
1.038734894E1,2.470000076E1,-3.110000038E1,-2.160000038E1
1.048741344E1,2.360000038E1,-3.139999962E1,-2.270000076E1
1.058749220E1,2.189999962E1,-3.010000038E1,-2.539999962E1
1.068756167E1,2.200000000E1,-2.830000114E1,-2.650000000E1
1.078762873E1,2.270000076E1,-2.739999962E1,-2.650000000E1
1.088768420E1,2.489999962E1,-3.010000038E1,-2.260000038E1
1.098775656E1,2.430000114E1,-2.989999962E1,-2.180000114E1
1.108782336E1,2.430000114E1,-3.130000114E1,-2.100000000E1
1.118789142E1,2.370000076E1,-3.120000076E1,-2.200000000E1
1.128795355E1,2.180000114E1,-2.850000000E1,-2.570000076E1
1.138802509E1,2.070000076E1,-2.520000076E1,-2.850000000E1
1.148809105E1,2.150000000E1,-2.470000076E1,-2.870000076E1
1.158815722E1,2.250000000E1,-2.820000076E1,-2.480000114E1
1.168822248E1,2.180000114E1,-2.939999962E1,-2.560000038E1
1.178839407E1,2.210000038E1,-3.030000114E1,-2.450000000E1
1.188846194E1,2.139999962E1,-3.100000000E1,-2.460000038E1
1.198852647E1,2.030000114E1,-3.089999962E1,-2.550000000E1
1.208858720E1,1.950000000E1,-3.000000000E1,-2.639999962E1
1.218865430E1,1.880000114E1,-2.860000038E1,-2.780000114E1
1.228872086E1,1.950000000E1,-2.820000076E1,-2.730000114E1
1.238878576E1,1.989999962E1,-3.150000000E1,-2.350000000E1
1.248885246E1,2.030000114E1,-3.170000076E1,-2.350000000E1
1.258892132E1,2.039999962E1,-3.240000153E1,-2.310000038E1
1.268898919E1,2.130000114E1,-3.180000114E1,-2.330000114E1
1.278905825E1,2.220000076E1,-3.039999962E1,-2.389999962E1
1.288912382E1,2.330000114E1,-2.800000000E1,-2.530000114E1
1.298919311E1,2.370000076E1,-2.750000000E1,-2.520000076E1
1.308925944E1,2.420000076E1,-2.889999962E1,-2.339999962E1
1.318932708E1,2.410000038E1,-2.950000000E1,-2.300000000E1
1.328939391E1,2.310000038E1,-2.980000114E1,-2.400000000E1
1.338946047E1,2.239999962E1,-2.970000076E1,-2.520000076E1
1.348952760E1,2.189999962E1,-2.870000076E1,-2.620000076E1
1.358959474E1,2.160000038E1,-2.739999962E1,-2.730000114E1
1.368966007E1,2.200000000E1,-2.589999962E1,-2.780000114E1
1.378973023E1,2.210000038E1,-2.660000038E1,-2.720000076E1
1.388979840E1,2.260000038E1,-2.720000076E1,-2.650000000E1
1.398986859E1,2.230000114E1,-2.739999962E1,-2.689999962E1
1.408993282E1,2.200000000E1,-2.710000038E1,-2.760000038E1
1.419000489E1,2.100000000E1,-2.670000076E1,-2.860000038E1
1.429007029E1,2.089999962E1,-2.610000038E1,-2.900000000E1
1.439013732E1,2.180000114E1,-2.560000038E1,-2.860000038E1
1.449020028E1,2.300000000E1,-2.960000038E1,-2.350000000E1
1.459026782E1,2.389999962E1,-2.980000114E1,-2.339999962E1
1.469033282E1,2.450000000E1,-3.010000038E1,-2.280000114E1
1.479039811E1,2.410000038E1,-2.970000076E1,-2.439999962E1
1.489046795E1,2.320000076E1,-2.850000000E1,-2.650000000E1
1.499053768E1,2.220000076E1,-2.739999962E1,-2.800000000E1
1.509060457E1,2.230000114E1,-2.610000038E1,-2.850000000E1
1.519066867E1,2.539999962E1,-2.820000076E1,-2.360000038E1
1.529073657E1,2.650000000E1,-2.989999962E1,-1.989999962E1
1.539080360E1,2.589999962E1,-2.960000038E1,-2.139999962E1
1.549087410E1,2.539999962E1,-3.060000038E1,-2.100000000E1
1.559094167E1,2.410000038E1,-3.030000114E1,-2.270000076E1
1.569100640E1,2.260000038E1,-2.910000038E1,-2.470000076E1
1.579107109E1,2.170000076E1,-2.800000000E1,-2.650000000E1
1.589113643E1,2.239999962E1,-2.700000000E1,-2.689999962E1
1.599120572E1,2.320000076E1,-3.329999924E1,-1.910000038E1
1.609127239E1,2.280000114E1,-3.229999924E1,-2.139999962E1
1.619134078E1,2.320000076E1,-3.350000000E1,-1.970000076E1
1.629140865E1,2.260000038E1,-3.340000153E1,-2.130000114E1
1.639147872E1,2.250000000E1,-3.189999962E1,-2.339999962E1
1.649154498E1,2.239999962E1,-2.939999962E1,-2.539999962E1
1.659161634E1,2.360000038E1,-2.789999962E1,-2.520000076E1
1.669168127E1,2.739999962E1,-3.080000114E1,-1.620000076E1
1.679174741E1,2.780000114E1,-3.170000076E1,-1.680000114E1
1.689180960E1,2.800000000E1,-3.120000076E1,-1.639999962E1
1.699187624E1,2.720000076E1,-3.180000114E1,-1.770000076E1
1.709194336E1,2.570000076E1,-3.100000000E1,-2.050000000E1
1.719201426E1,2.339999962E1,-2.789999962E1,-2.430000114E1
1.729208042E1,2.320000076E1,-2.650000000E1,-2.539999962E1
1.739214802E1,2.489999962E1,-2.670000076E1,-2.339999962E1
1.749221402E1,2.780000114E1,-2.850000000E1,-1.750000000E1
1.759228662E1,2.739999962E1,-2.770000076E1,-2.050000000E1
1.769235252E1,2.660000038E1,-2.760000038E1,-2.230000114E1
1.779242648E1,2.650000000E1,-2.739999962E1,-2.230000114E1
1.789248881E1,2.420000076E1,-2.520000076E1,-2.600000000E1
1.799255667E1,2.360000038E1,-2.550000000E1,-2.650000000E1
1.809261424E1,2.410000038E1,-2.660000038E1,-2.389999962E1
1.819268793E1,2.489999962E1,-3.080000114E1,-2.070000076E1
1.829275560E1,2.420000076E1,-3.039999962E1,-2.210000038E1
1.839282299E1,2.439999962E1,-3.139999962E1,-2.130000114E1
1.849288339E1,2.360000038E1,-3.070000076E1,-2.339999962E1
1.859295666E1,2.070000076E1,-2.710000038E1,-2.839999962E1
1.869302142E1,2.030000114E1,-2.600000000E1,-3.010000038E1
1.879308988E1,2.200000000E1,-2.489999962E1,-2.880000114E1
1.889315085E1,2.539999962E1,-2.989999962E1,-2.189999962E1
1.899315483E1,2.700000000E1,-2.989999962E1,-1.960000038E1
1.909322076E1,2.620000076E1,-3.110000038E1,-2.030000114E1
1.919328823E1,2.520000076E1,-3.260000229E1,-2.010000038E1
1.929335536E1,2.360000038E1,-3.260000229E1,-2.200000000E1
1.939342252E1,2.150000000E1,-2.920000076E1,-2.670000076E1
1.949348932E1,2.360000038E1,-2.860000038E1,-2.539999962E1
1.959355705E1,2.460000038E1,-3.180000114E1,-2.130000114E1
1.969362172E1,2.600000000E1,-3.139999962E1,-1.870000076E1
1.979368912E1,2.539999962E1,-3.180000114E1,-1.970000076E1
1.989376178E1,2.430000114E1,-3.139999962E1,-2.160000038E1
1.999383138E1,2.380000114E1,-3.120000076E1,-2.289999962E1
2.009390114E1,2.189999962E1,-3.000000000E1,-2.489999962E1
2.019396218E1,2.150000000E1,-2.889999962E1,-2.589999962E1
2.029403187E1,2.450000000E1,-2.839999962E1,-2.260000038E1
2.039409657E1,2.780000114E1,-3.039999962E1,-1.739999962E1
2.049416337E1,2.480000114E1,-3.200000000E1,-1.960000038E1
2.059422797E1,2.480000114E1,-3.329999924E1,-1.770000076E1
2.069429426E1,2.350000000E1,-3.240000153E1,-2.020000076E1
2.079436083E1,2.139999962E1,-2.980000114E1,-2.439999962E1
2.089442776E1,2.100000000E1,-2.850000000E1,-2.689999962E1
2.099449562E1,2.150000000E1,-2.770000076E1,-2.650000000E1
2.109456368E1,2.420000076E1,-3.350000000E1,-1.850000000E1
2.119463145E1,2.360000038E1,-3.189999962E1,-2.039999962E1
2.129469862E1,2.489999962E1,-3.250000000E1,-1.880000114E1
2.139477215E1,2.450000000E1,-3.200000000E1,-2.039999962E1
2.149483888E1,2.010000038E1,-2.780000114E1,-2.760000038E1
2.159490601E1,1.900000000E1,-2.610000038E1,-3.110000038E1
2.169496458E1,2.270000076E1,-2.420000076E1,-2.850000000E1
2.179503694E1,2.320000076E1,-2.930000114E1,-2.350000000E1
2.189510380E1,2.600000000E1,-2.830000114E1,-2.150000000E1
2.199517307E1,2.560000038E1,-2.830000114E1,-2.260000038E1
2.209523537E1,2.530000114E1,-2.889999962E1,-2.310000038E1
2.219530247E1,2.489999962E1,-2.820000076E1,-2.439999962E1
2.229536926E1,2.250000000E1,-2.720000076E1,-2.639999962E1
2.239543816E1,2.110000038E1,-2.660000038E1,-2.770000076E1
2.249550529E1,2.060000038E1,-2.630000114E1,-2.820000076E1
2.259557259E1,2.300000000E1,-2.930000114E1,-2.280000114E1
2.269563526E1,2.530000114E1,-2.860000038E1,-2.270000076E1
2.279571002E1,2.539999962E1,-2.880000114E1,-2.239999962E1
2.289578205E1,2.270000076E1,-2.880000114E1,-2.520000076E1
2.299585638E1,1.950000000E1,-2.650000000E1,-2.980000114E1
2.309591615E1,2.020000076E1,-2.339999962E1,-3.070000076E1
2.319597858E1,2.180000114E1,-2.289999962E1,-3.000000000E1
2.329604061E1,2.260000038E1,-2.780000114E1,-2.450000000E1
2.339610694E1,2.580000114E1,-2.900000000E1,-2.170000076E1
2.349617411E1,2.560000038E1,-2.870000076E1,-2.230000114E1
2.359624137E1,2.520000076E1,-3.010000038E1,-2.210000038E1
2.369631147E1,2.070000076E1,-2.710000038E1,-2.880000114E1
2.379638473E1,1.789999962E1,-2.489999962E1,-3.000000000E1
2.389645253E1,1.920000076E1,-2.460000038E1,-3.039999962E1
2.399651783E1,1.920000076E1,-2.480000114E1,-3.039999962E1
2.409658149E1,2.160000038E1,-2.980000114E1,-2.400000000E1
2.419665389E1,2.089999962E1,-3.050000000E1,-2.520000076E1
2.429672175E1,2.120000076E1,-3.170000076E1,-2.420000076E1
2.439678592E1,2.170000076E1,-3.010000038E1,-2.530000114E1
2.449684695E1,1.989999962E1,-2.550000000E1,-3.030000114E1
2.459691221E1,2.100000000E1,-2.520000076E1,-2.870000076E1
2.469698108E1,2.580000114E1,-2.560000038E1,-2.360000038E1
2.479704751E1,2.550000000E1,-3.350000000E1,-1.800000000E1
2.489711927E1,2.580000114E1,-3.200000000E1,-1.920000076E1
2.499718673E1,2.310000038E1,-3.300000000E1,-2.070000076E1
2.509725360E1,2.060000038E1,-3.210000229E1,-2.370000076E1
2.519731686E1,2.010000038E1,-3.020000076E1,-2.620000076E1
2.529738703E1,2.030000114E1,-2.970000076E1,-2.670000076E1
2.539745582E1,2.060000038E1,-2.889999962E1,-2.689999962E1
2.549752439E1,2.230000114E1,-3.130000114E1,-2.220000076E1
2.559758825E1,2.770000076E1,-3.220000076E1,-1.500000000E1
2.569765802E1,2.520000076E1,-3.410000229E1,-1.580000019E1
2.579772351E1,1.920000076E1,-3.929999924E1,-1.500000000E1
2.589778901E1,1.800000000E1,-3.540000153E1,-2.110000038E1
2.599785934E1,1.560000038E1,-3.390000153E1,-2.570000076E1
2.609792687E1,1.770000076E1,-3.150000000E1,-2.600000000E1
2.619799433E1,2.089999962E1,-3.279999924E1,-2.180000114E1
2.629828436E1,2.210000038E1,-3.640000153E1,-1.480000019E1
2.639835219E1,2.470000076E1,-3.400000000E1,-1.680000114E1
2.649842286E1,2.410000038E1,-3.529999924E1,-1.720000076E1
2.659848632E1,2.360000038E1,-3.300000000E1,-1.989999962E1
2.669855098E1,1.450000000E1,-3.060000038E1,-2.739999962E1
2.679861365E1,1.550000000E1,-2.780000114E1,-3.100000000E1
2.689867821E1,1.950000000E1,-2.560000038E1,-2.970000076E1
2.699874821E1,1.920000076E1,-2.980000114E1,-2.680000114E1
2.709881601E1,2.410000038E1,-2.950000000E1,-2.280000114E1
2.719888287E1,2.250000000E1,-3.210000229E1,-2.160000038E1
2.729894957E1,2.289999962E1,-3.279999924E1,-2.150000000E1
2.739901820E1,1.900000000E1,-3.080000114E1,-2.620000076E1
2.749908790E1,1.789999962E1,-2.770000076E1,-2.950000000E1
2.759915426E1,1.789999962E1,-2.820000076E1,-2.920000076E1
2.769921753E1,2.289999962E1,-2.700000000E1,-2.520000076E1
2.779928349E1,2.320000076E1,-3.130000114E1,-2.189999962E1
2.789935466E1,2.330000114E1,-3.160000038E1,-2.250000000E1
2.799942752E1,2.320000076E1,-3.279999924E1,-2.100000000E1
2.809949392E1,2.260000038E1,-3.350000000E1,-2.100000000E1
2.819955779E1,2.030000114E1,-2.560000038E1,-2.930000114E1
2.829962172E1,1.920000076E1,-2.450000000E1,-3.030000114E1
2.839968865E1,2.100000000E1,-2.370000076E1,-2.980000114E1
2.849975498E1,2.420000076E1,-2.520000076E1,-2.539999962E1
2.859982218E1,2.839999962E1,-2.670000076E1,-1.870000076E1
2.869989248E1,2.589999962E1,-2.989999962E1,-2.000000000E1
2.879995904E1,2.589999962E1,-3.030000114E1,-2.050000000E1
2.890002574E1,2.220000076E1,-2.789999962E1,-2.510000038E1
2.900009050E1,2.030000114E1,-2.630000114E1,-2.839999962E1
2.910015880E1,2.039999962E1,-2.570000076E1,-2.800000000E1
2.920022690E1,2.089999962E1,-2.470000076E1,-2.839999962E1
2.930029599E1,2.389999962E1,-3.050000000E1,-2.189999962E1
2.940036309E1,2.570000076E1,-3.039999962E1,-2.210000038E1
2.950043309E1,2.530000114E1,-3.080000114E1,-2.050000000E1
2.960049816E1,2.639999962E1,-2.850000000E1,-2.170000076E1
2.970056289E1,2.600000000E1,-2.089999962E1,-2.750000000E1
2.980062972E1,2.420000076E1,-2.120000076E1,-2.960000038E1
2.990069585E1,2.550000000E1,-1.970000076E1,-2.870000076E1
3.000077361E1,2.570000076E1,-2.280000114E1,-2.620000076E1
3.010083751E1,3.139999962E1,-2.470000076E1,-1.820000076E1
3.020090477E1,2.930000114E1,-2.720000076E1,-2.160000038E1
3.030096284E1,2.839999962E1,-2.660000038E1,-2.189999962E1
3.040103280E1,2.570000076E1,-2.010000038E1,-2.820000076E1
3.050110097E1,2.560000038E1,-1.960000038E1,-3.000000000E1
3.060116813E1,2.510000038E1,-1.939999962E1,-2.980000114E1
3.070123003E1,2.589999962E1,-1.930000114E1,-2.920000076E1
3.080129620E1,2.900000000E1,-2.650000000E1,-2.010000038E1
3.090136403E1,3.010000038E1,-2.689999962E1,-2.110000038E1
3.100143399E1,2.839999962E1,-2.780000114E1,-2.070000076E1
3.110150249E1,2.480000114E1,-2.339999962E1,-2.500000000E1
3.120156879E1,2.220000076E1,-2.180000114E1,-3.030000114E1
3.130163522E1,2.339999962E1,-1.870000076E1,-3.130000114E1
3.140170198E1,2.510000038E1,-1.770000076E1,-2.930000114E1
3.150176945E1,2.589999962E1,-2.260000038E1,-2.570000076E1
3.160183675E1,2.900000000E1,-2.489999962E1,-2.139999962E1
3.170190421E1,2.770000076E1,-2.839999962E1,-2.160000038E1
3.180197164E1,2.700000000E1,-2.860000038E1,-2.139999962E1
3.190203971E1,2.330000114E1,-2.339999962E1,-2.939999962E1
3.200211224E1,2.080000114E1,-2.200000000E1,-3.170000076E1
3.210218187E1,2.150000000E1,-2.080000114E1,-3.110000038E1
3.220224797E1,2.270000076E1,-2.060000038E1,-3.020000076E1
3.230230833E1,2.730000114E1,-2.600000000E1,-2.150000000E1
3.240237290E1,2.770000076E1,-2.680000114E1,-2.230000114E1
3.250244016E1,2.760000038E1,-2.730000114E1,-2.170000076E1
3.260250746E1,2.660000038E1,-2.550000000E1,-2.430000114E1
3.270257256E1,2.210000038E1,-2.230000114E1,-3.030000114E1
3.280263969E1,2.389999962E1,-1.900000000E1,-3.089999962E1
3.290270662E1,2.400000000E1,-1.910000038E1,-3.080000114E1
3.300277572E1,2.780000114E1,-2.539999962E1,-2.289999962E1
3.310284365E1,2.870000076E1,-2.570000076E1,-2.270000076E1
3.320292544E1,2.870000076E1,-2.510000038E1,-2.280000114E1
3.330299824E1,2.860000038E1,-2.439999962E1,-2.350000000E1
3.340306404E1,2.570000076E1,-1.800000000E1,-3.000000000E1
3.350311650E1,2.080000114E1,-1.820000076E1,-3.310000229E1
3.360312458E1,2.300000000E1,-1.750000000E1,-3.210000229E1
3.370318984E1,2.360000038E1,-2.089999962E1,-2.989999962E1
3.380326007E1,2.960000038E1,-2.660000038E1,-1.980000114E1
3.390332117E1,2.670000076E1,-3.000000000E1,-2.050000000E1
3.400339083E1,2.520000076E1,-3.050000000E1,-2.150000000E1
3.410345540E1,2.000000000E1,-2.620000076E1,-2.820000076E1
3.420352260E1,2.239999962E1,-2.089999962E1,-3.060000038E1
3.430359059E1,2.500000000E1,-2.020000076E1,-2.910000038E1
3.440366266E1,2.500000000E1,-2.330000114E1,-2.680000114E1
3.450373052E1,2.770000076E1,-3.000000000E1,-1.670000076E1
3.460379756E1,2.739999962E1,-3.050000000E1,-1.900000000E1
3.470385719E1,2.800000000E1,-2.939999962E1,-1.939999962E1
3.480392329E1,2.470000076E1,-2.489999962E1,-2.630000114E1
3.490398912E1,2.200000000E1,-2.120000076E1,-3.060000038E1
3.500406195E1,2.189999962E1,-2.139999962E1,-3.070000076E1
3.510412948E1,2.239999962E1,-2.050000000E1,-3.089999962E1
3.520419711E1,2.460000038E1,-2.520000076E1,-2.560000038E1
3.530426071E1,2.500000000E1,-3.080000114E1,-2.000000000E1
3.540432751E1,2.420000076E1,-3.080000114E1,-2.250000000E1
3.550439460E1,2.289999962E1,-2.950000000E1,-2.460000038E1
3.560446170E1,2.100000000E1,-2.160000038E1,-3.010000038E1
3.570453087E1,2.000000000E1,-2.160000038E1,-3.160000038E1
3.580459753E1,2.070000076E1,-2.070000076E1,-3.180000114E1
3.590466463E1,2.430000114E1,-2.330000114E1,-2.680000114E1
3.600473356E1,2.970000076E1,-2.530000114E1,-1.980000114E1
3.610480129E1,2.720000076E1,-2.639999962E1,-2.289999962E1
3.620486846E1,2.670000076E1,-2.750000000E1,-2.270000076E1
3.630493176E1,2.389999962E1,-2.620000076E1,-2.630000114E1
3.640500805E1,2.080000114E1,-2.330000114E1,-2.920000076E1
3.650507892E1,2.139999962E1,-2.270000076E1,-2.989999962E1
3.660515275E1,2.200000000E1,-2.220000076E1,-2.939999962E1
3.670520835E1,2.410000038E1,-2.810000038E1,-2.439999962E1
3.680527141E1,2.360000038E1,-2.910000038E1,-2.360000038E1
3.690533184E1,2.410000038E1,-2.970000076E1,-2.350000000E1
3.700540131E1,2.400000000E1,-2.910000038E1,-2.410000038E1
3.710546871E1,2.130000114E1,-2.139999962E1,-3.010000038E1
3.720554054E1,2.139999962E1,-2.060000038E1,-3.160000038E1
3.730560834E1,2.180000114E1,-2.010000038E1,-3.170000076E1
3.740567570E1,2.650000000E1,-2.739999962E1,-2.270000076E1
3.750574213E1,2.839999962E1,-2.710000038E1,-2.089999962E1
3.760580783E1,2.780000114E1,-2.780000114E1,-2.110000038E1
3.770587249E1,2.750000000E1,-2.860000038E1,-2.139999962E1
3.780593586E1,2.330000114E1,-2.570000076E1,-2.680000114E1
3.790594272E1,2.439999962E1,-2.430000114E1,-2.689999962E1
3.800601222E1,2.439999962E1,-2.320000076E1,-2.750000000E1
3.810607952E1,2.570000076E1,-2.589999962E1,-2.370000076E1
3.820620771E1,2.660000038E1,-2.700000000E1,-2.250000000E1
3.830628151E1,2.560000038E1,-2.589999962E1,-2.510000038E1
3.840634838E1,2.339999962E1,-2.720000076E1,-2.570000076E1
3.850641837E1,2.320000076E1,-2.650000000E1,-2.660000038E1
3.860647880E1,2.230000114E1,-2.610000038E1,-2.730000114E1
3.870654457E1,2.239999962E1,-2.420000076E1,-2.830000114E1
3.880662226E1,2.330000114E1,-2.300000000E1,-2.870000076E1
3.890670083E1,2.560000038E1,-2.550000000E1,-2.489999962E1
3.900677386E1,2.539999962E1,-2.539999962E1,-2.539999962E1
3.910682806E1,2.460000038E1,-2.660000038E1,-2.510000038E1
3.920688382E1,2.420000076E1,-2.570000076E1,-2.660000038E1
3.930694642E1,2.330000114E1,-2.410000038E1,-2.870000076E1
3.940701932E1,2.339999962E1,-2.189999962E1,-2.980000114E1
3.950708868E1,2.420000076E1,-2.100000000E1,-2.939999962E1
3.960715578E1,2.200000000E1,-3.080000114E1,-2.220000076E1
3.970721428E1,2.289999962E1,-3.170000076E1,-2.220000076E1
3.980727947E1,2.250000000E1,-3.100000000E1,-2.330000114E1
3.990734661E1,2.189999962E1,-3.189999962E1,-2.310000038E1
4.000741687E1,2.120000076E1,-2.680000114E1,-2.710000038E1
4.010748367E1,2.060000038E1,-2.360000038E1,-2.989999962E1
4.020755097E1,2.010000038E1,-2.330000114E1,-3.080000114E1
4.030761657E1,2.070000076E1,-2.260000038E1,-3.070000076E1
4.040768346E1,2.260000038E1,-2.680000114E1,-2.539999962E1
4.050775039E1,2.230000114E1,-2.730000114E1,-2.689999962E1
4.060782089E1,2.220000076E1,-2.910000038E1,-2.570000076E1
4.070788579E1,2.089999962E1,-2.980000114E1,-2.639999962E1
4.080795328E1,1.830000114E1,-2.680000114E1,-2.930000114E1
4.090835025E1,1.739999962E1,-2.439999962E1,-3.170000076E1
