Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),labelWalking,labelRunning,labelCycling,labelSitting,labelNoActivity,cluster
1970-01-01 00:00:00.000,-0.4053165229034047,2.483033997619048,9.345500677238094,0.14719144372165002,-0.35228924257794286,-0.6163188450016667,-2.3512722303749993,0.41618683933875006,0.08577889212083324,52.2551266,4.5768119,-0.6004627212,0.0,0.0,15.13799953,2.599998474,-0.1949999867925,-11.23499989375,8.03249979,999.5773926,8.0,1,0,0,0,0,1
1970-01-01 00:00:00.250,-0.8561926708735519,2.9978810691999986,8.358164356248004,0.14719144372165002,-0.35228924257794286,-0.6163188450016667,-3.1249421024799995,0.6208065224112,-0.8954631423799999,,,,,,,,-1.490399966252,-13.219199791200001,10.005599822239999,999.5666504,,1,0,0,0,0,1
1970-01-01 00:00:00.500,-1.2959347577639995,3.0480650663520024,10.177966392527999,-0.08763106299843196,-0.3927845197108958,-0.022191513576902373,-4.10966142652,0.4177515125211999,1.1685460280784001,,,,,,,,-3.1679999256039997,-14.277599716,10.612799911520002,999.5461425666667,,1,0,0,0,0,1
1970-01-01 00:00:00.750,-0.48199625104630417,2.723746181463999,7.952018722543997,0.12212051467135202,0.21972761775744004,0.3677262172384,-3.4813569641599997,0.1630217075264,-1.0172700119515998,,,,,,,,-5.707199859640001,-14.3639995568,11.1407997144,999.5338135,,1,0,0,0,0,1
1970-01-01 00:00:01.000,0.037427303723999994,3.717197826431997,9.854835167103998,-0.13747277789859202,-0.21543323655575264,0.08660114424897597,-3.16571229936,1.3915112209400002,0.73576919549316,,,,,,,,-6.4823998832799985,-14.4815997696,10.814399757560002,999.5308431333333,,1,0,0,0,0,1
1970-01-01 00:00:01.250,0.233317291685696,2.2088813238160006,8.552962524559998,0.1286543317482431,0.08847466862701595,-0.27612575052719995,-2.63113789548,-0.21227783203,-0.4748484802600001,,,,,,,,-6.46319982536,-13.449599723599997,9.955199775279999,999.5461426000002,,1,0,0,0,0,1
1970-01-01 00:00:01.500,-0.3140330826659601,3.9969448985760017,9.146895927336002,0.09501764635403202,-0.1283629463391553,-0.2670605115943999,-3.1270153998800003,0.9750266933439999,0.2232492828572,,,,,,,,-5.548799819879998,-16.2455995948,10.970399741599998,999.5450846666666,,1,0,0,0,0,1
1970-01-01 00:00:01.750,-0.43976124156207996,2.9634801215759987,8.794554454856,-0.054473297465335996,0.047400089042264,0.13760106185448,-3.2460979175599998,-0.11085904119504837,-0.056234130908000016,,,,,,,,-5.00879989616,-16.687199554400003,11.253599738799998,999.5517577999999,,1,0,0,0,0,1
1970-01-01 00:00:02.000,-0.2645386358441759,3.541419761688001,8.450545028712,0.009227730228864004,0.11426295466521605,0.24084217417119996,-2.9325679969599996,0.6663357162708,-0.5629877090376001,52.25505562,4.576659625,8.061196102,0.7641690969,198.45498659999998,12.0,64.67961121,-5.4335998534800005,-15.971999777999999,10.80479984368,999.5641276,,1,0,0,0,0,1
1970-01-01 00:00:02.250,0.6927307438776001,2.889621538215999,10.294481445191995,-0.05814826364815206,0.07933123650136002,0.06331496201455201,-1.977437024256,0.26169693950279993,1.2602947616744,,,,,,,,-6.4223998261199995,-14.728799667599999,10.022399787760001,999.5592041,,1,0,0,0,0,1
1970-01-01 00:00:02.500,-0.09870158535354406,3.053370775192001,7.876129791263998,0.17425419921122387,-0.10038043154433604,-0.41099013543039997,-2.46940692428,-0.06325958251920005,-1.103603458444,,,,,,,,-5.2631998729600005,-16.924799689599997,10.70879989664,999.5510254000001,,1,0,0,0,0,1
1970-01-01 00:00:02.750,-1.1384489407592004,4.1735466118,9.614756419992002,-0.19503094636411997,-0.03140152834095278,-0.2009648922183761,-3.2921805382000002,0.9423901080827999,0.5827788924696001,,,,,,,,-3.23999990456,-17.6783995816,11.152799682800001,999.53967285,,1,0,0,0,0,1
1970-01-01 00:00:03.000,-0.9750061640863997,2.4261665477520005,8.327192001472,0.019793257773880083,0.20230574215821528,0.35133548128805614,-2.99284377092,-0.6874784850868,-0.711907424962,52.25506891,4.576745273999999,0.9406116054000001,0.5274085402,301.504425,6.0,26.48439407,-2.7647999476799994,-17.179199676,10.317599715639998,999.5566405999999,,1,0,0,0,0,1
1970-01-01 00:00:03.250,-0.8446809983471997,3.656210880279999,9.098148494672005,-0.013735916081392007,0.14567608843051205,0.23855020844583996,-2.5120563602799995,0.9029227352379999,-0.2081838607240001,,,,,,,,-2.3783999537200002,-15.501599694800001,9.13199977888,999.55651855,,1,0,0,0,0,1
1970-01-01 00:00:03.500,-0.8773580606272002,2.4037752800480003,9.269559421512001,0.08994990808615196,0.18201523830791208,-0.2728368530272,-1.9468833351599997,-0.12322825906759999,-0.08469791412720012,,,,,,,,0.4967999903943998,-14.066399650800001,8.39759977344,999.5657552333336,,1,0,0,0,0,1
1970-01-01 00:00:03.750,-1.2426669311511993,3.357941673304,8.414688388792001,0.15156422061561595,-0.16557685753548798,-0.23609208762720002,-2.3293340493200003,0.1979860115192,-0.8250430297720002,,,,,,,,1.1015999734520001,-17.0975997172,9.94559978492,999.56860355,,1,0,0,0,0,1
