"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.238430360E1,5.210206400E0,-2.513375292E0,0.000000000E0,0.000000000E0,2.707699966E1,2.000000000E0
1.178243413E1,5.238452085E1,5.209959283E0,2.250106021E1,8.190683126E-1,6.827079773E1,4.800000000E1,0.000000000E0
1.986072432E1,5.238459494E1,5.210013232E0,1.854875378E1,1.152778268E0,5.687913513E1,3.200000000E1,0.000000000E0
2.078651416E1,5.238469200E1,5.210087321E0,-7.682039929E0,1.693354547E-1,0.000000000E0,3.200000000E1,0.000000000E0
2.177150835E1,5.238469360E1,5.210187824E0,-2.838739282E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.307228943E1,5.238469404E1,5.210227912E0,-2.595609125E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.406269250E1,5.238469177E1,5.210253515E0,-2.351424427E0,0.000000000E0,0.000000000E0,1.200000000E1,0.000000000E0
2.506101593E1,5.238469222E1,5.210270299E0,-2.232337381E0,5.339989066E-1,0.000000000E0,1.200000000E1,0.000000000E0
2.606801127E1,5.238469696E1,5.210291870E0,-2.088677857E0,7.954593301E-1,0.000000000E0,8.000000000E0,0.000000000E0
2.710529927E1,5.238470284E1,5.210312278E0,-1.541785571E0,8.914836049E-1,0.000000000E0,8.000000000E0,0.000000000E0
2.807563931E1,5.238470825E1,5.210323792E0,-1.945261696E0,8.891892433E-1,4.619135666E1,8.000000000E0,0.000000000E0
2.907442039E1,5.238471164E1,5.210332698E0,-2.428700216E0,0.000000000E0,4.619135666E1,8.000000000E0,0.000000000E0
3.006930831E1,5.238471096E1,5.210341604E0,-2.721649771E0,0.000000000E0,4.619135666E1,6.000000000E0,0.000000000E0
3.108087173E1,5.238470646E1,5.210354264E0,-2.885606252E0,0.000000000E0,4.619135666E1,6.000000000E0,0.000000000E0
3.206644446E1,5.238470081E1,5.210368079E0,-2.547924522E0,0.000000000E0,4.619135666E1,6.000000000E0,0.000000000E0
3.308066561E1,5.238469558E1,5.210387192E0,-2.711508717E0,0.000000000E0,4.619135666E1,6.000000000E0,0.000000000E0
3.406535084E1,5.238468977E1,5.210404904E0,-4.142014175E0,0.000000000E0,4.619135666E1,6.000000000E0,0.000000000E0
3.507597638E1,5.238468073E1,5.210410317E0,-4.731673806E0,5.257965326E-1,1.714488983E2,6.000000000E0,0.000000000E0
3.609293384E1,5.238466746E1,5.210413426E0,-5.134445869E0,8.107107878E-1,1.681970825E2,6.000000000E0,0.000000000E0
3.706629388E1,5.238465302E1,5.210420319E0,-5.152317630E0,9.298266768E-1,1.703114319E2,6.000000000E0,0.000000000E0
3.807704553E1,5.238463324E1,5.210431857E0,-2.693494480E0,1.154957652E0,1.596022491E2,6.000000000E0,0.000000000E0
3.907620215E1,5.238461851E1,5.210440996E0,-3.424383271E0,1.153238058E0,1.660959167E2,6.000000000E0,0.000000000E0
4.006487092E1,5.238460522E1,5.210447307E0,-3.328805875E0,1.201023698E0,1.633401489E2,6.000000000E0,0.000000000E0
4.106194045E1,5.238459067E1,5.210452596E0,-3.218799648E0,1.325434566E0,1.640219574E2,6.000000000E0,0.000000000E0
4.205901368E1,5.238457678E1,5.210456722E0,-3.357104096E0,1.197841644E0,1.736027985E2,6.000000000E0,0.000000000E0
4.307114795E1,5.238456407E1,5.210459387E0,-3.421692425E0,1.124908686E0,1.711332245E2,6.000000000E0,0.000000000E0
4.404998338E1,5.238455225E1,5.210461855E0,-3.420756946E0,1.106597304E0,1.707644043E2,6.000000000E0,0.000000000E0
4.505077888E1,5.238454026E1,5.210464391E0,-3.466277442E0,1.183664560E0,1.712405396E2,6.000000000E0,0.000000000E0
4.606934922E1,5.238452731E1,5.210467495E0,-3.580819392E0,1.170550585E0,1.710642700E2,6.000000000E0,0.000000000E0
4.705625410E1,5.238451298E1,5.210468311E0,-3.785827353E0,1.298632264E0,1.738691101E2,6.000000000E0,0.000000000E0
4.805791606E1,5.238449878E1,5.210471200E0,-3.825637300E0,1.213769674E0,1.715595551E2,6.000000000E0,0.000000000E0
4.905340368E1,5.238448663E1,5.210474723E0,-3.804696923E0,1.207275748E0,1.685728455E2,6.000000000E0,0.000000000E0
5.005622660E1,5.238447243E1,5.210481908E0,-3.804410753E0,1.192140937E0,1.700789185E2,6.000000000E0,0.000000000E0
5.107282652E1,5.238446026E1,5.210485600E0,-3.799926320E0,1.197884560E0,1.687692566E2,3.000000000E0,0.000000000E0
5.209106660E1,5.238444580E1,5.210489796E0,-3.794169392E0,1.217596769E0,1.687736664E2,3.000000000E0,0.000000000E0
5.308040945E1,5.238443081E1,5.210494980E0,-3.785391627E0,1.236250401E0,1.689552307E2,3.000000000E0,0.000000000E0
5.409729760E1,5.238441743E1,5.210499513E0,-3.775228102E0,1.240289688E0,1.686843262E2,3.000000000E0,0.000000000E0
5.510772298E1,5.238440651E1,5.210503089E0,-3.763603608E0,1.239472270E0,1.685879211E2,4.000000000E0,0.000000000E0
5.608696467E1,5.238439674E1,5.210505495E0,-3.750582851E0,1.236912131E0,1.683811188E2,4.000000000E0,0.000000000E0
5.705883487E1,5.238438782E1,5.210505958E0,-3.737050158E0,1.233527422E0,1.681984711E2,4.000000000E0,0.000000000E0
5.804906010E1,5.238437757E1,5.210507173E0,-3.722171563E0,1.230264306E0,1.686818237E2,4.000000000E0,0.000000000E0
5.906695787E1,5.238435879E1,5.210510398E0,-3.703024545E0,1.223265767E0,1.669098511E2,3.000000000E0,0.000000000E0
6.004970713E1,5.238434828E1,5.210514374E0,-3.682861153E0,1.205263138E0,1.651976776E2,3.000000000E0,0.000000000E0
6.104125909E1,5.238434020E1,5.210516893E0,-3.662573002E0,1.176855206E0,1.638980255E2,3.000000000E0,0.000000000E0
6.205017021E1,5.238433199E1,5.210520615E0,-3.642076264E0,1.149185061E0,1.644386902E2,3.000000000E0,0.000000000E0
6.307315621E1,5.238432005E1,5.210526955E0,-3.621171012E0,1.135899782E0,1.649226532E2,4.000000000E0,0.000000000E0
6.407281228E1,5.238430698E1,5.210533464E0,-3.599032855E0,1.132376552E0,1.632726440E2,4.000000000E0,0.000000000E0
6.505290032E1,5.238429406E1,5.210540067E0,-3.576390704E0,1.134992480E0,1.643038177E2,4.000000000E0,0.000000000E0
6.608551555E1,5.238427965E1,5.210542724E0,-3.551366890E0,1.140675306E0,1.657490082E2,4.000000000E0,0.000000000E0
6.706285624E1,5.238426868E1,5.210546693E0,-3.524623941E0,1.155570984E0,1.672981110E2,4.000000000E0,0.000000000E0
6.807296928E1,5.238425939E1,5.210549079E0,-3.495606562E0,1.184366703E0,1.692983551E2,4.000000000E0,0.000000000E0
6.906880240E1,5.238424232E1,5.210549789E0,-3.463414717E0,1.203971386E0,1.698403320E2,4.000000000E0,0.000000000E0
7.006189336E1,5.238422568E1,5.210551158E0,-3.430032756E0,1.207409859E0,1.712243805E2,4.000000000E0,0.000000000E0
7.105559051E1,5.238421312E1,5.210554768E0,-3.395066000E0,1.234925628E0,1.720952148E2,4.000000000E0,0.000000000E0
7.209334274E1,5.238419571E1,5.210556252E0,-3.358482701E0,1.281870604E0,1.691062469E2,4.000000000E0,0.000000000E0
7.307152643E1,5.238417698E1,5.210560171E0,-3.320336760E0,1.302085161E0,1.688942871E2,4.000000000E0,0.000000000E0
7.407185235E1,5.238416317E1,5.210563030E0,-3.281818867E0,1.296236277E0,1.640987701E2,4.000000000E0,0.000000000E0
7.505994182E1,5.238415137E1,5.210567933E0,-3.242946965E0,1.289682746E0,1.595540924E2,3.000000000E0,0.000000000E0
7.612564851E1,5.238414050E1,5.210574049E0,-3.204063935E0,1.274113655E0,1.415074768E2,3.000000000E0,0.000000000E0
7.705615501E1,5.238413039E1,5.210582983E0,-3.164095481E0,1.250883460E0,1.147161026E2,3.000000000E0,0.000000000E0
7.807928343E1,5.238412664E1,5.210593661E0,-3.123302750E0,1.231603146E0,1.156866684E2,3.000000000E0,0.000000000E0
7.905442250E1,5.238412282E1,5.210604075E0,-3.082532600E0,1.217056274E0,1.096256104E2,3.000000000E0,0.000000000E0
8.006817366E1,5.238411949E1,5.210617327E0,-3.041860157E0,1.208883405E0,9.681998444E1,3.000000000E0,0.000000000E0
8.105782281E1,5.238411681E1,5.210638704E0,-2.998126272E0,1.203395247E0,9.528534698E1,3.000000000E0,0.000000000E0
8.204407854E1,5.238411587E1,5.210654860E0,-2.953613911E0,1.197331309E0,8.734761047E1,3.000000000E0,0.000000000E0
8.307918462E1,5.238411406E1,5.210673172E0,-2.906521923E0,1.194079280E0,9.882606506E1,3.000000000E0,0.000000000E0
