"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.944126345E0,2.675901055E-1,-2.016823292E0,-9.491095543E-1
9.044199275E0,8.181446791E-1,-1.133066177E0,-2.420935154E0
9.144263638E0,4.540314078E-1,-1.094102859E-1,-2.756100655E0
9.244329501E0,-1.089845896E0,1.561484814E0,4.062175751E-2
9.344390632E0,-5.553263426E-2,1.608804226E0,2.298294067E0
9.444458363E0,-6.537000537E-1,-4.727413654E-1,2.228486061E0
9.544526527E0,1.065854728E-2,-1.495306969E0,1.454780579E0
9.644594757E0,1.149662733E-1,-1.423482656E0,-3.635154724E0
9.744661420E0,-6.968944669E-1,1.118763447E0,-1.388845444E-1
9.844728351E0,1.662172079E-1,1.405991554E0,-7.451438904E-2
9.944793916E0,-7.251311541E-1,3.749227524E-2,4.145207405E0
1.004486701E1,8.759230375E-1,-1.416203976E0,-3.776460648E0
1.014493434E1,-5.396716595E-1,-8.789420128E-1,-2.547840118E0
1.024500144E1,-4.041613936E-1,-1.691055298E-2,-4.380607605E-2
1.034506334E1,2.645527720E-1,1.094123840E0,1.271820068E-2
1.044513027E1,5.773675442E-1,1.469329357E0,1.762135506E0
1.054519896E1,1.122763872E0,-3.630425930E-1,7.420873642E-1
1.064526539E1,8.574482799E-2,-1.408413887E0,-5.542488098E-1
1.074533266E1,-4.478443563E-1,-5.214037895E-1,-2.797772884E0
1.084540176E1,-3.205648065E-1,1.828467369E0,-1.849012375E-1
1.094546929E1,5.397059917E-1,1.202475548E0,7.192373276E-1
1.104553645E1,-2.503423393E-1,3.201169968E-1,3.475584030E0
1.114560112E1,-3.231670856E-1,-2.006427526E0,-1.884263039E0
1.124566641E1,5.811281800E-1,-8.460459709E-1,-2.786607742E-1
1.134573308E1,-8.307286501E-1,-9.009194374E-2,-1.872138977E0
1.144579981E1,3.416961432E-2,9.990015030E-1,-1.292948246E0
1.154586864E1,-5.814455152E-1,3.106231689E0,3.658412933E0
1.164599790E1,5.525088310E-1,-9.865493774E-1,2.003119469E0
1.174606529E1,-1.441777200E-1,-2.440551519E0,-4.031472206E0
1.184613539E1,-1.454143882E0,-9.958596230E-1,-1.341828823E0
1.194620382E1,-1.236463785E0,1.590621233E0,1.825609207E-1
1.204627102E1,-2.131913453E-1,1.773730278E0,2.536058426E-1
1.214633525E1,-8.418765068E-1,7.123928070E-1,4.232991219E0
1.224640068E1,1.627633274E-1,-2.136940718E0,-3.138189316E0
1.234646698E1,9.763145447E-1,-1.411611557E0,-6.865835190E-1
1.244653748E1,-3.528568745E-1,-1.835823059E-2,-1.014636040E0
1.254660534E1,-6.621825099E-1,1.415831089E0,1.426259995E0
1.264667330E1,7.342817783E-1,1.841171741E0,1.903374672E0
1.274673704E1,4.210069180E-1,-3.629655838E-1,2.844280243E0
1.284680427E1,5.204735994E-1,-1.766093016E0,-3.704337597E0
1.294687250E1,-7.932266593E-1,-1.037476063E0,-1.570831776E0
1.304693966E1,-8.052978516E-1,1.585829735E0,4.430961609E-2
1.314700629E1,-3.385791779E-1,1.689826012E0,1.551223755E0
1.324707115E1,-1.104399204E0,1.447744370E-1,6.949059486E0
1.334713782E1,4.650339484E-1,-1.936299562E0,-2.744831562E0
1.344720548E1,1.088725328E0,-6.059575081E-1,-2.416854858E0
1.354727838E1,-5.162321329E-1,5.493693352E-1,-1.563662052E0
1.364734601E1,-3.763356209E-1,1.591541529E0,1.444765091E0
1.374741304E1,-8.787074685E-2,2.044444084E0,3.236571312E0
1.384747553E1,4.899069667E-2,-1.402904987E0,4.164493561E0
1.394754373E1,4.963699281E-1,-1.335483313E0,-4.027404308E0
1.404761113E1,8.620755374E-2,-3.834455013E-1,-1.615017414E0
1.414767826E1,-1.449047476E-1,1.407977104E0,-1.005353928E-1
1.424774433E1,5.615684763E-2,1.536933899E0,7.937917709E-1
1.434782292E1,-1.741417646E0,5.301165581E-1,4.229268074E0
