"Time (s)","Pressure (hPa)"
2.903004800E-2,1.002104736E3
1.290965480E-1,1.002101074E3
2.291638810E-1,1.002094727E3
3.292311310E-1,1.002092285E3
4.293025310E-1,1.002090332E3
5.293696970E-1,1.002084717E3
6.294368390E-1,1.002088867E3
7.295038390E-1,1.002087402E3
8.295708390E-1,1.002091309E3
9.296380390E-1,1.002090332E3
1.029704402E0,1.002089600E3
1.129771485E0,1.002088623E3
1.229838023E0,1.002086914E3
1.329904594E0,1.002088379E3
1.429971660E0,1.002093262E3
1.530038785E0,1.002088623E3
1.630105902E0,1.002081787E3
1.730173068E0,1.002070068E3
1.830239752E0,1.002059082E3
1.930306502E0,1.002054443E3
2.030373644E0,1.002041016E3
2.130440734E0,1.002031738E3
2.230507820E0,1.002023682E3
2.330574945E0,1.002021729E3
2.430642065E0,1.002016602E3
2.530709526E0,1.002012939E3
2.630776637E0,1.002005615E3
2.730843779E0,1.002007080E3
2.830910916E0,1.001998291E3
2.930978049E0,1.001997559E3
3.031045282E0,1.002012451E3
3.131112448E0,1.002009766E3
3.231179548E0,1.002010254E3
3.331246648E0,1.002010010E3
3.431313081E0,1.002017822E3
3.531379947E0,1.002021729E3
3.631446813E0,1.002016113E3
3.731513946E0,1.002020508E3
3.831581112E0,1.002014160E3
3.931648212E0,1.002015137E3
4.031719045E0,1.002012939E3
4.131786211E0,1.002014893E3
4.234465305E0,1.002014404E3
4.334532705E0,1.002009277E3
4.434599871E0,1.002013672E3
4.534667037E0,1.002017822E3
4.634734170E0,1.002014404E3
4.734801303E0,1.002024170E3
4.834868736E0,1.002027588E3
4.934936136E0,1.002031738E3
5.035003269E0,1.002031006E3
5.135070402E0,1.002015869E3
5.235137302E0,1.002014404E3
5.335204468E0,1.002002197E3
5.435271634E0,1.002005127E3
5.535338500E0,1.002006104E3
5.635405666E0,1.002006348E3
5.735472799E0,1.002018799E3
5.835539932E0,1.002020020E3
5.935607065E0,1.002019531E3
6.035674098E0,1.002012695E3
6.135741264E0,1.002009521E3
6.235808164E0,1.002009521E3
6.335875330E0,1.002027344E3
6.435942430E0,1.002031006E3
6.536009830E0,1.002046143E3
6.636077230E0,1.002057617E3
6.736144396E0,1.002052246E3
6.836211529E0,1.002047852E3
6.936278695E0,1.002037842E3
7.036342428E0,1.002034180E3
7.136412994E0,1.002022461E3
7.236473960E0,1.002019775E3
7.336541093E0,1.002014404E3
7.436608226E0,1.002008789E3
7.536675326E0,1.001993408E3
7.636742492E0,1.001987305E3
7.736809592E0,1.001986328E3
7.836876692E0,1.001985352E3
7.936943792E0,1.001990967E3
8.037010892E0,1.001996338E3
8.137078058E0,1.002005371E3
8.237145191E0,1.002007080E3
8.337212291E0,1.002027832E3
8.437279424E0,1.002035400E3
8.537346557E0,1.002036621E3
8.637413657E0,1.002037109E3
8.737482623E0,1.002041504E3
8.837550123E0,1.002054443E3
8.937617556E0,1.002059326E3
9.037684722E0,1.002051025E3
9.137751855E0,1.002046875E3
9.237819255E0,1.002034912E3
9.337886355E0,1.002019775E3
9.437953521E0,1.002015869E3
9.538020654E0,1.002007568E3
9.638087787E0,1.001999023E3
9.738154953E0,1.001996094E3
9.838222086E0,1.001993164E3
9.938289219E0,1.001990234E3
1.003835632E1,1.001978516E3
1.013842002E1,1.001964600E3
1.023848715E1,1.001943115E3
1.033855428E1,1.001942627E3
1.043862145E1,1.001943848E3
1.053868858E1,1.001937744E3
1.063875568E1,1.001940430E3
1.073882282E1,1.001938232E3
1.083888998E1,1.001935059E3
1.093895692E1,1.001932861E3
1.103902408E1,1.001926514E3
1.113909712E1,1.001911377E3
1.123916428E1,1.001898682E3
1.133923145E1,1.001894531E3
1.143929855E1,1.001896484E3
1.153936568E1,1.001897461E3
1.173936506E1,1.001892334E3
1.183943193E1,1.001898682E3
1.193949879E1,1.001898682E3
1.203956589E1,1.001906250E3
1.213963303E1,1.001902832E3
1.223969989E1,1.001898193E3
1.233976703E1,1.001894775E3
1.243983386E1,1.001899902E3
1.253990102E1,1.001915283E3
1.263996819E1,1.001922363E3
1.274003532E1,1.001924316E3
1.284010246E1,1.001931885E3
1.294016959E1,1.001935791E3
1.304023676E1,1.001936523E3
1.314030389E1,1.001932861E3
1.324037102E1,1.001930176E3
1.334043816E1,1.001916504E3
1.344050529E1,1.001906738E3
