"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.094232540E0,-1.380000019E1,-1.060000038E1,-4.110000229E1
9.194296536E0,-1.360000038E1,-1.010000038E1,-4.140000153E1
9.294356867E0,-1.340000057E1,-8.800000191E0,-4.160000229E1
9.394424631E0,-1.390000057E1,-7.800000191E0,-4.160000229E1
9.494492662E0,-1.460000038E1,-7.800000191E0,-4.140000153E1
9.594560359E0,-1.540000057E1,-8.900000572E0,-4.090000153E1
9.694628088E0,-1.519999981E1,-1.030000019E1,-4.070000076E1
9.794694719E0,-1.469999981E1,-1.110000038E1,-4.079999924E1
9.894761317E0,-1.450000000E1,-1.169999981E1,-4.120000076E1
9.994827747E0,-1.430000019E1,-1.200000000E1,-4.129999924E1
1.009490081E1,-1.419999981E1,-1.250000000E1,-4.120000076E1
1.019496818E1,-1.380000019E1,-1.240000057E1,-4.140000153E1
1.029503474E1,-1.410000038E1,-1.169999981E1,-4.150000000E1
1.039509674E1,-1.430000019E1,-1.040000057E1,-4.170000076E1
1.049516483E1,-1.480000019E1,-9.400000572E0,-4.170000076E1
1.059523263E1,-1.519999981E1,-9.300000191E0,-4.140000153E1
1.069529923E1,-1.540000057E1,-9.900000572E0,-4.110000229E1
1.079536846E1,-1.519999981E1,-1.050000000E1,-4.070000076E1
1.089543536E1,-1.490000057E1,-1.080000019E1,-4.070000076E1
1.099550279E1,-1.519999981E1,-1.110000038E1,-4.050000000E1
1.109556729E1,-1.600000000E1,-1.169999981E1,-4.029999924E1
1.119563415E1,-1.630000114E1,-1.269999981E1,-3.990000153E1
1.129569945E1,-1.650000000E1,-1.319999981E1,-3.970000076E1
1.139576624E1,-1.630000114E1,-1.260000038E1,-3.960000229E1
1.149583384E1,-1.650000000E1,-1.169999981E1,-4.000000000E1
1.159590247E1,-1.689999962E1,-1.090000057E1,-4.000000000E1
1.169603169E1,-1.839999962E1,-1.130000019E1,-3.920000076E1
