"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.624441525E0,8.534109592E-2,1.528167725E-2,-3.667944074E-1
8.724508623E0,-2.503249645E-1,3.088331223E-1,3.264771700E-1
8.824575654E0,4.999327660E-1,-2.414684296E-1,-8.605960011E-2
8.924642719E0,1.041622162E-1,1.872634888E-2,-6.589639187E-2
9.024709884E0,-7.909250259E-2,7.800102234E-2,-1.950132847E-2
9.124777181E0,-1.099160910E-1,8.175182343E-2,9.959864616E-2
9.224843712E0,-3.403222561E-2,1.172466278E-1,6.083428860E-3
9.324910844E0,-1.011543274E-1,1.086788177E-1,-2.218842506E-3
9.424977942E0,-5.358064175E-2,7.426548004E-2,8.174628019E-3
9.525045774E0,-1.024963856E-1,8.038234711E-2,2.785685658E-2
9.625112839E0,-1.267194748E-4,7.719612122E-2,6.431722641E-2
9.725180037E0,-4.323089123E-2,7.022190094E-2,-1.288053393E-2
9.825247135E0,-1.053308249E-1,5.531883240E-2,6.458717585E-2
9.925314366E0,-1.078808308E-1,7.157039642E-2,1.084008813E-2
1.002538150E1,-9.921002388E-2,6.666564941E-2,-1.613888144E-2
1.012544870E1,-1.372193098E-1,8.735847473E-2,7.197380066E-3
1.022551483E1,-2.531754971E-2,4.111766815E-2,-8.037301898E-2
1.032558192E1,-2.246892452E-2,8.336067200E-3,-1.141154766E-2
1.042564862E1,-1.559550762E-1,1.000919342E-1,-2.318483591E-2
1.052571669E1,4.030823708E-3,4.308986664E-2,1.378821135E-1
1.062578459E1,-1.192375422E-1,4.743766785E-2,-1.128389537E-1
1.072585202E1,-1.094979048E-1,1.036148071E-1,1.489633322E-2
1.082591925E1,-6.694090366E-2,1.118659973E-1,1.087903380E-1
1.092598555E1,-6.313443184E-2,7.274532318E-2,1.407769173E-1
1.102605281E1,-7.056939602E-2,4.517555237E-2,3.230753541E-2
1.112612064E1,-1.626111269E-1,4.875946045E-2,6.960690022E-3
1.122618721E1,-2.845621109E-2,5.660247803E-2,1.862013489E-1
1.132625424E1,8.175373077E-4,1.144514084E-1,-4.788795114E-2
1.142632060E1,-2.290393114E-1,1.165342331E-1,6.224064529E-2
1.152638910E1,-5.877721310E-2,8.265590668E-2,1.426461041E-1
1.162645637E1,-7.889389992E-2,1.036243439E-1,-1.081349254E-1
1.172657027E1,-4.150569439E-2,1.008863449E-1,5.716858804E-2
1.182663744E1,-4.998278618E-2,4.388141632E-2,5.361531675E-2
1.192670447E1,-1.417111158E-1,7.633113861E-2,1.012511551E-1
1.202677147E1,-2.995431423E-2,6.313419342E-2,-2.730500698E-2
1.212683790E1,-1.192580462E-1,7.167530060E-2,-7.008309662E-2
1.222690447E1,-5.234229565E-2,4.874706268E-2,1.485463381E-1
1.232697163E1,-1.081665754E-1,9.840869904E-2,-3.156882524E-2
1.242703876E1,-1.100590229E-1,4.362010956E-2,7.664158940E-2
1.252710653E1,-9.392869473E-2,6.043148041E-2,-4.838919640E-2
1.262717366E1,-8.115983009E-2,6.726455688E-2,-1.942455769E-3
1.272724079E1,-6.932234764E-2,8.820915222E-2,5.986392498E-4
1.282730789E1,-1.100969315E-1,9.428787231E-2,-1.304756701E-1
1.292737502E1,-1.225687861E-1,5.694484711E-2,3.799054027E-2
1.302744209E1,-5.761718750E-2,8.298301697E-2,-5.580383539E-2
1.312750922E1,-1.903352737E-1,1.155166626E-1,6.982573867E-2
1.322757565E1,-3.491115570E-2,1.089639664E-1,-8.358317614E-2
1.332764351E1,8.082354069E-2,5.095386505E-2,-1.633341312E-1
1.342771071E1,-9.583830833E-2,7.143402100E-2,7.129377127E-2
1.352777858E1,-1.030747294E-1,9.571075439E-2,-2.828574181E-2
1.362784514E1,-6.734806299E-2,5.655860901E-2,2.482917905E-2
1.372791224E1,-1.142957807E-1,7.097339630E-2,-1.882746816E-2
1.382797950E1,-1.966607571E-2,5.294036865E-2,-4.505258799E-2
1.392804687E1,-4.071426392E-2,4.309558868E-2,4.255470634E-2
1.402811400E1,-7.810682058E-2,6.213760376E-2,7.150264084E-2
