"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.226728788E1,5.238447250E1,5.208602290E0,-2.974148539E1,2.408736182E-4,2.413688354E2,2.400000000E1,0.000000000E0
7.329496841E1,5.238447250E1,5.208602290E0,-2.970192546E1,2.408736182E-4,2.414516907E2,2.400000000E1,0.000000000E0
7.428153230E1,5.238447250E1,5.208602290E0,-2.966287085E1,2.408736182E-4,2.401909485E2,2.400000000E1,0.000000000E0
7.528556903E1,5.238447250E1,5.208602290E0,-2.962519705E1,2.408736182E-4,2.376259613E2,3.200000000E1,0.000000000E0
7.629095022E1,5.238447250E1,5.208602290E0,-2.958901924E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
7.728029714E1,5.238447250E1,5.208602290E0,-2.955361264E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
7.827986149E1,5.238447250E1,5.208602290E0,-2.920348573E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
7.928291633E1,5.238447250E1,5.208602290E0,-2.881718094E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.029641964E1,5.238447250E1,5.208602290E0,-2.846497089E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.130486029E1,5.238447250E1,5.208602290E0,-2.811545298E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.229182964E1,5.238447250E1,5.208602290E0,-2.774542447E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.329113668E1,5.238447250E1,5.208602290E0,-2.770870975E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.427927898E1,5.238447250E1,5.208602290E0,-2.736639487E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.528364560E1,5.238447250E1,5.208602290E0,-2.733770157E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.627772156E1,5.238447250E1,5.208602290E0,-2.704921513E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.727885871E1,5.238447250E1,5.208602290E0,-2.672061433E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
8.827792210E1,5.238447250E1,5.208602290E0,-2.668393023E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
8.927131898E1,5.238447250E1,5.208602290E0,-2.664433348E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.028110498E1,5.238447250E1,5.208602290E0,-2.660302384E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.128656529E1,5.238447250E1,5.208602290E0,-2.655679825E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
