"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.274877278E0,-6.000000238E-1,-4.200000000E1,-1.419999981E1
9.374944343E0,-6.000000238E-1,-4.190000153E1,-1.419999981E1
9.475012075E0,-3.000000119E-1,-4.200000000E1,-1.410000038E1
9.575079273E0,-3.000000119E-1,-4.200000000E1,-1.419999981E1
9.675146471E0,-3.000000119E-1,-4.200000000E1,-1.440000057E1
9.775213636E0,-3.000000119E-1,-4.190000153E1,-1.450000000E1
9.875280800E0,-1.000000015E-1,-4.179999924E1,-1.469999981E1
9.975347932E0,-1.000000015E-1,-4.190000153E1,-1.480000019E1
1.007541506E1,0.000000000E0,-4.200000000E1,-1.480000019E1
1.017548160E1,-1.000000015E-1,-4.210000229E1,-1.469999981E1
1.027554836E1,-2.000000030E-1,-4.200000000E1,-1.450000000E1
1.037561512E1,-3.000000119E-1,-4.210000229E1,-1.410000038E1
1.047568279E1,-2.000000030E-1,-4.210000229E1,-1.369999981E1
1.057575102E1,0.000000000E0,-4.210000229E1,-1.360000038E1
1.067581852E1,3.000000119E-1,-4.210000229E1,-1.390000057E1
1.077588565E1,5.000000000E-1,-4.200000000E1,-1.390000057E1
1.087595195E1,6.999999881E-1,-4.200000000E1,-1.410000038E1
1.097601911E1,6.000000238E-1,-4.190000153E1,-1.410000038E1
1.107608708E1,6.999999881E-1,-4.179999924E1,-1.450000000E1
1.117615367E1,8.000000119E-1,-4.179999924E1,-1.480000019E1
1.127622074E1,1.100000024E0,-4.190000153E1,-1.490000057E1
1.137628710E1,1.399999976E0,-4.190000153E1,-1.510000038E1
1.147635557E1,1.399999976E0,-4.190000153E1,-1.480000019E1
1.157642270E1,1.500000000E0,-4.170000076E1,-1.480000019E1
1.167653664E1,1.600000024E0,-4.160000229E1,-1.480000019E1
1.177660314E1,1.800000072E0,-4.150000000E1,-1.510000038E1
1.187667094E1,1.899999976E0,-4.160000229E1,-1.540000057E1
1.197673794E1,2.000000000E0,-4.160000229E1,-1.540000057E1
1.207680504E1,2.200000048E0,-4.160000229E1,-1.530000019E1
1.217687093E1,2.299999952E0,-4.150000000E1,-1.530000019E1
1.227693803E1,2.299999952E0,-4.160000229E1,-1.540000057E1
1.237700516E1,2.100000143E0,-4.160000229E1,-1.530000019E1
1.247707293E1,1.899999976E0,-4.160000229E1,-1.519999981E1
1.257714010E1,2.000000000E0,-4.170000076E1,-1.519999981E1
1.267720726E1,2.100000143E0,-4.170000076E1,-1.490000057E1
1.277727439E1,2.200000048E0,-4.170000076E1,-1.480000019E1
1.287734146E1,2.200000048E0,-4.170000076E1,-1.450000000E1
1.297740849E1,2.299999952E0,-4.170000076E1,-1.440000057E1
1.307747562E1,2.500000000E0,-4.170000076E1,-1.440000057E1
1.317754215E1,2.500000000E0,-4.170000076E1,-1.450000000E1
1.327760925E1,2.500000000E0,-4.170000076E1,-1.450000000E1
1.337767711E1,2.200000048E0,-4.160000229E1,-1.469999981E1
1.347774494E1,2.100000143E0,-4.150000000E1,-1.460000038E1
1.357781234E1,2.200000048E0,-4.150000000E1,-1.480000019E1
1.367787871E1,2.500000000E0,-4.160000229E1,-1.480000019E1
1.377794577E1,2.799999952E0,-4.160000229E1,-1.469999981E1
1.387801324E1,2.799999952E0,-4.160000229E1,-1.469999981E1
1.397808043E1,2.700000048E0,-4.140000153E1,-1.480000019E1
1.407814753E1,2.700000048E0,-4.140000153E1,-1.510000038E1
1.417821356E1,2.799999952E0,-4.150000000E1,-1.500000000E1
1.427828006E1,2.700000048E0,-4.150000000E1,-1.490000057E1
1.437834699E1,2.799999952E0,-4.150000000E1,-1.480000019E1
1.447841442E1,2.799999952E0,-4.140000153E1,-1.490000057E1
1.457848215E1,2.799999952E0,-4.140000153E1,-1.500000000E1
1.467854949E1,2.500000000E0,-4.140000153E1,-1.519999981E1
1.477861695E1,2.400000095E0,-4.140000153E1,-1.519999981E1
1.487868438E1,2.500000000E0,-4.129999924E1,-1.519999981E1
1.497875164E1,2.900000095E0,-4.140000153E1,-1.510000038E1
1.507881884E1,3.000000000E0,-4.140000153E1,-1.530000019E1
1.517888514E1,3.100000143E0,-4.140000153E1,-1.510000038E1
1.527895164E1,3.000000000E0,-4.140000153E1,-1.510000038E1
1.537901874E1,2.900000095E0,-4.140000153E1,-1.490000057E1
1.547908644E1,2.799999952E0,-4.160000229E1,-1.469999981E1
1.557915420E1,3.000000000E0,-4.160000229E1,-1.450000000E1
1.567922133E1,3.200000048E0,-4.160000229E1,-1.450000000E1
