"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.869404186E0,6.379388273E-2,-5.125953630E-2,5.242140219E-2
8.969472032E0,2.096489538E-3,-6.055507343E-3,1.515862066E-2
9.069538214E0,-1.622946747E-2,1.227045059E-2,8.439103141E-3
9.169603827E0,-2.179567004E-3,-3.612046130E-3,1.576948725E-2
9.269671841E0,-2.539244667E-2,8.605258539E-3,1.719585620E-3
9.369740720E0,-1.745119877E-2,2.448775433E-2,5.995642394E-3
9.469806669E0,-2.966850251E-2,2.082256228E-2,-1.171945035E-2
9.569874250E0,-1.622946747E-2,2.998554148E-2,3.552181413E-3
9.669941128E0,-1.378600672E-2,-5.444642156E-3,-1.416291017E-2
9.770008076E0,-2.790432423E-3,-1.779450453E-3,-1.130100718E-4
9.870075088E0,2.714196406E-2,-1.827281155E-2,-6.221662741E-3
9.970143768E0,1.187033392E-2,-3.232271224E-2,-4.389066715E-3
1.007020971E1,1.736812107E-2,-2.682492696E-2,2.941316226E-3
1.017027959E1,2.592023462E-2,6.640105275E-4,8.439103141E-3
1.027034371E1,-7.677354384E-3,2.204429358E-2,-1.130100718E-4
1.037041333E1,-8.899085224E-3,2.570948564E-2,-2.332589030E-2
1.047047747E1,-1.378600672E-2,1.898996718E-2,-6.832527462E-3
1.057054599E1,8.205141872E-3,-3.001180943E-3,-2.638021484E-2
1.067061377E1,-2.050552331E-2,2.143342979E-2,-1.966069825E-2
1.077067905E1,-2.172725461E-2,9.826988913E-3,-1.904983260E-2
1.087074696E1,-3.333369270E-2,7.383528166E-3,-2.027156204E-2
1.097081321E1,-2.179567004E-3,-1.949454285E-2,-3.493232653E-2
1.107088109E1,-5.233893171E-3,-1.888367720E-2,-3.248886764E-2
1.117094624E1,-2.790432423E-3,1.227045059E-2,-7.443393115E-3
1.127101532E1,1.736812107E-2,2.448775433E-2,-4.999931902E-3
1.137108206E1,-3.516628966E-2,4.831150174E-2,-4.389066715E-3
1.147114968E1,-2.661417797E-2,1.104871929E-2,1.210429519E-2
1.157121705E1,9.426872246E-3,-4.148568958E-2,-1.355204545E-2
1.167133234E1,-1.622946747E-2,-8.498968557E-3,-1.110858470E-2
