"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.108855853E0,-4.266492367E0,4.465776443E0,-3.974466324E0
9.208927983E0,-7.002058029E-1,1.597099304E0,-2.907792330E0
9.308990379E0,5.739235878E-2,-2.120273590E0,4.805188179E-1
9.409055344E0,1.154460430E0,-1.893445015E0,5.317747593E-1
9.509116308E0,3.041800499E0,-4.175623894E0,4.335951805E0
9.609184172E0,5.750282288E0,-5.687016964E0,7.843040466E0
9.709251269E0,8.380025864E0,-6.014457703E0,-2.661615372E0
9.809318434E0,-1.269632816E0,-1.904670715E0,3.246495724E0
9.909386499E0,-1.230386257E0,-8.235263824E-2,-1.344703674E0
1.000945846E1,-2.603854656E0,1.621837139E0,-2.428452730E0
1.010952493E1,-4.599620342E0,4.172063351E0,-3.046970606E0
1.020959029E1,-3.056628704E-1,3.724804878E0,-6.132975578E0
1.030965292E1,-1.329824448E0,7.367839813E-1,1.085951567E0
1.040972065E1,-4.273366928E-1,-2.424535751E-1,-7.851368189E-1
1.050978862E1,5.081825256E-1,-1.603291035E0,7.408313751E-1
1.060985522E1,1.654922009E0,-2.679535866E0,5.619597435E-1
1.070992298E1,2.079241753E0,-3.674255371E0,5.933268547E0
1.080998915E1,5.911907196E0,-5.039938450E0,6.061345577E0
1.091005655E1,5.037793159E0,-3.770554781E0,2.105505466E0
1.101012444E1,-2.492771149E-1,-1.696320057E0,1.411000729E0
1.111019197E1,-1.889743567E0,4.864792824E-1,-2.348900557E0
1.121025721E1,-4.338204861E0,2.728093147E0,-2.962552071E0
1.131032724E1,-4.336789131E0,4.595136642E0,-4.430687428E0
1.141039437E1,-4.241852760E0,3.639294624E0,-3.916589499E0
1.151046350E1,-1.074474096E0,1.283165932E0,-2.559898376E0
1.161052530E1,-3.351922035E-1,-1.573578835E0,8.326210976E-1
1.171088095E1,9.178552628E-1,-2.657288074E0,1.156080008E0
1.181094825E1,1.514003754E0,-3.980158329E0,5.605682373E0
1.191101678E1,6.783844948E0,-5.098153114E0,4.353886127E0
1.201108464E1,3.437116623E0,-3.235976696E0,3.657397270E0
1.211115328E1,3.968818188E0,-3.429545164E0,1.008039474E0
1.221122041E1,-3.294397593E0,-6.074905396E-3,-1.392264366E-1
1.231128967E1,-3.805853128E0,2.373475552E0,-4.009718418E0
1.241135537E1,-4.128000736E0,4.276112080E0,-4.818191051E0
1.251142170E1,-4.918963432E0,6.694404602E0,-6.529793739E0
1.261148403E1,-2.079909086E0,-1.782722473E-1,-1.201481819E0
1.271155020E1,-1.028045416E0,-5.399379730E-1,3.193714619E-1
1.281162173E1,-8.923008442E-1,-1.996830940E0,2.471092224E0
1.291168993E1,4.498617649E-1,-2.953139782E0,3.280962706E0
1.301175772E1,5.044056416E0,-3.436779022E0,3.941951275E0
1.311182126E1,7.107368946E0,-5.023920059E0,3.920437813E0
1.321188859E1,4.092984676E0,-4.031182289E0,2.756771088E0
1.331195622E1,-2.622317314E0,-6.925539970E-1,1.886410236E0
1.341202482E1,-2.383056879E0,1.682320595E0,-3.405503273E0
1.351209532E1,-4.811333656E0,5.625034332E0,-2.600773811E0
1.361216098E1,-5.548511505E0,5.592602730E0,-5.017442226E0
1.371222738E1,-2.003735065E0,1.247836113E0,-1.663106918E0
1.381229114E1,-5.314700603E-1,-6.597967148E-1,-4.052343369E-1
1.391235914E1,-6.845121384E-1,-2.347269058E0,2.751056194E0
1.401242747E1,1.601148605E0,-2.785321236E0,1.831109762E0
1.411249487E1,2.993979454E0,-3.044566154E0,4.337499619E0
1.421256210E1,6.999444962E0,-6.792460918E0,7.256361961E0
1.431262734E1,4.422651291E0,-4.092014313E0,1.321974277E0
1.441269503E1,-3.262238741E0,-1.946878433E-1,1.765888691E0
1.451276130E1,-2.648229837E0,2.231974125E0,-3.993080616E0
1.461283110E1,-2.046218634E0,3.318976402E0,-5.474653244E0
1.471289820E1,-3.967920780E0,3.243485451E0,-4.292722225E0
