"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.839475216E0,5.192067027E-1,-6.670013666E-1,-9.425766468E-1
8.939540762E0,2.516477704E-1,-5.026785731E-1,-1.163709879E0
9.039609186E0,3.479060903E-2,7.214563340E-2,-5.345186591E-1
9.139667633E0,-5.375901461E-1,-2.864322960E-1,1.420250177E0
9.239741118E0,-2.804158628E-1,2.676225007E-1,9.645445943E-1
9.339802898E0,-5.928263813E-2,4.185062349E-1,5.558757782E-1
9.439875244E0,-8.155338168E-1,-1.685352772E-1,3.304664791E-1
9.539937856E0,-5.681333542E-1,8.986071497E-2,8.734212816E-2
9.640006800E0,-4.508472681E-1,1.271235049E-1,6.890443563E-1
9.740073288E0,5.784606934E-1,2.945005894E-1,-7.080044746E-1
9.840139834E0,8.393000960E-1,-3.023147583E-1,-1.264607012E-1
9.940210213E0,6.340494156E-1,-1.214986593E-1,-6.505830884E-1
1.004027252E1,2.021676749E-1,-5.112307072E-1,-8.985943794E-1
1.014033224E1,-1.136496440E-1,-7.048749328E-1,-8.533903956E-1
1.024041065E1,1.551310569E-1,7.227171063E-1,-4.221194685E-1
1.034047373E1,-3.693902167E-3,7.306584120E-1,7.354701757E-1
1.044054748E1,-2.431530803E-1,2.566269338E-1,5.693148375E-1
1.054061286E1,-4.801687896E-1,6.176092103E-2,2.034065276E-1
1.064069037E1,-5.821833014E-1,3.549371287E-2,-2.492446303E-1
1.074075382E1,-6.212787032E-1,-2.717715204E-1,2.632713020E-1
1.084080900E1,1.279945951E-2,8.008687943E-2,4.129332900E-1
1.094087838E1,4.422377348E-1,-1.966350824E-1,-3.048333824E-1
1.104094902E1,7.067423463E-1,-1.538745165E-1,-5.235231519E-1
1.114100454E1,2.730280459E-1,-1.978568137E-1,-8.246796727E-1
1.124109185E1,6.472300738E-2,4.771101847E-2,-5.204688311E-1
1.134115617E1,1.096686348E-2,-3.047973290E-2,-1.099673510E-1
1.144121758E1,-2.083337605E-1,-2.375630438E-1,9.242275357E-1
1.154127129E1,-1.222017556E-1,2.053142488E-1,9.156754017E-1
1.164163448E1,-3.500545025E-1,4.985295832E-1,3.396294415E-1
1.174169490E1,-1.893969476E-1,7.746406794E-1,-3.115528822E-1
1.184176851E1,-3.445566893E-1,-4.697309434E-2,2.431127578E-1
1.194183012E1,-5.546943545E-1,-6.217973232E-1,-4.447214901E-1
1.204190824E1,3.280059099E-1,-3.823381066E-1,-6.293072551E-2
1.214197335E1,6.432123780E-1,-2.962061167E-1,-1.050089002E0
1.224203086E1,4.587310851E-1,-5.588781834E-1,-2.132035792E-1
1.234210164E1,-2.504834533E-1,1.833231002E-1,-4.874821007E-1
1.244216585E1,-8.066292852E-2,2.254728079E-1,-5.558989644E-1
1.254222373E1,4.831657112E-1,3.018309772E-1,2.625560015E-2
1.264230004E1,2.620324790E-1,1.019597650E0,6.316230297E-1
1.274237746E1,-1.468947716E-2,4.722623527E-1,6.591119766E-1
1.284243787E1,-3.973495215E-2,6.604088545E-1,4.972327054E-1
1.294250895E1,-3.408915102E-1,1.503363848E-1,5.222781897E-1
1.304257023E1,-8.644030094E-1,-7.299203873E-1,1.093332767E-1
1.314264071E1,1.820091307E-1,3.500893116E-1,-4.643736780E-2
1.324270272E1,6.694796085E-1,1.240691766E-1,-3.500373960E-1
1.334277157E1,6.676469445E-1,3.476458490E-1,1.252157688E-1
1.344284582E1,-7.699773461E-2,2.908353806E-1,-8.008559346E-1
1.354289447E1,-3.372263312E-1,-5.759824514E-1,-6.310353875E-1
1.364297471E1,3.066256344E-1,1.393408030E-1,-4.746538997E-1
1.374304289E1,9.221194685E-2,3.745239377E-1,6.578902602E-1
1.384310501E1,-9.349109977E-2,2.945005894E-1,9.474403858E-1
1.394317225E1,-6.233696640E-2,2.645681798E-1,5.351063013E-1
1.404324046E1,-3.366154432E-1,1.979838759E-1,-4.399390519E-2
1.414330568E1,-4.929969609E-1,-3.420209885E-1,-9.958264232E-2
1.424337859E1,4.862200320E-1,-5.613607541E-2,3.335207999E-1
1.434344537E1,6.206103563E-1,-2.180153728E-1,-8.039102554E-1
1.444350845E1,2.137741297E-1,3.372611403E-1,1.526002493E-2
1.454356570E1,-3.696021736E-1,3.671935499E-1,-7.342715859E-1
1.464364284E1,-1.588536650E-1,-4.690809548E-1,-7.513758540E-1
1.474370916E1,1.771222055E-1,1.937078089E-1,-3.818024099E-1
1.484377547E1,-9.682500958E-1,3.861303627E-1,8.093848228E-1
1.494384305E1,-1.908371687E0,6.329199076E-1,-4.624365866E-1
1.504390913E1,-1.491150737E0,8.680639416E-2,5.252280459E-2
1.514398288E1,-3.005743921E-1,-2.387847751E-1,9.772682935E-2
1.524404409E1,-5.683917925E-2,-8.667933941E-2,9.650510550E-2
1.534411214E1,-5.498074293E-1,2.480748147E-1,4.563047290E-1
1.544418555E1,8.671415597E-2,3.732630983E-2,4.587481916E-1
1.554423686E1,1.759004891E-1,-4.312073290E-1,-3.023898900E-1
1.564431385E1,5.494916067E-2,6.743951817E-4,-2.736792266E-1
1.574438943E1,4.287987053E-1,-1.587614268E-1,-8.100188971E-1
1.584445500E1,5.088220239E-1,1.778253168E-1,-3.433178663E-1
1.594451332E1,8.124220371E-1,3.910172582E-1,-4.074587226E-1
1.604458064E1,-6.365503073E-1,-2.797127366E-1,9.645445943E-1
1.614466679E1,-3.671587110E-1,-2.057980597E-1,9.706532359E-1
1.624472673E1,3.903141916E-1,-5.478825569E-1,4.892914295E-1
1.634478601E1,-1.087627262E-1,-1.043944210E-1,-5.743293837E-2
1.644484890E1,-4.740601480E-1,-3.548491895E-1,-3.060550988E-1
1.654491192E1,1.899503767E-1,-3.200298548E-1,-2.156470269E-1
1.664498256E1,1.266905785E0,-5.295566320E-1,-7.367150784E-1
1.674505864E1,1.079981089E0,-8.301414549E-2,-5.253556967E-1
1.684512169E1,4.196357131E-1,4.270583391E-1,-7.110587955E-1
1.694518494E1,4.709483981E-1,4.649319649E-1,-1.203520596E-1
1.704525972E1,2.797475457E-1,-9.645317495E-2,-7.562627792E-1
1.714531790E1,7.694030553E-2,-1.020081401E0,9.144536853E-1
1.724539475E1,2.577564120E-1,1.097177505E0,6.041340828E-1
1.734546343E1,-1.154822409E-1,-3.053690791E-1,9.535490274E-1
1.744552665E1,-6.137363147E-3,2.633073553E-2,4.734089673E-1
1.754558553E1,-6.127265692E-1,-9.156625718E-2,-1.117999479E-1
1.764565892E1,-1.026540771E-1,-1.783091277E-1,4.954001307E-1
1.774572206E1,8.637347221E-1,-5.369261280E-2,-1.423432231E-1
1.784579294E1,6.902490258E-1,2.071468532E-1,-6.316462159E-1
1.794586586E1,5.112655163E-1,-1.575397104E-1,-1.698321402E-1
1.804593830E1,-2.935024351E-2,7.062237263E-1,-5.027536750E-1
1.814599655E1,2.021676749E-1,1.142992377E0,-2.994400449E-2
1.824606270E1,4.801113605E-1,7.642168552E-2,-1.252389848E-1
1.834613038E1,-3.140134513E-1,-6.492862701E-1,9.578250647E-1
1.844619329E1,-4.325213134E-1,-2.650519609E-1,5.809212923E-1
1.854625024E1,-3.127917051E-1,-4.073835611E-1,4.935674965E-1
1.864633635E1,-4.502363801E-1,-5.521586537E-1,2.003521919E-1
1.874639409E1,-7.342887521E-1,-7.232009172E-1,-7.361042500E-1
1.884646841E1,8.304896206E-2,-2.833779156E-1,2.333389074E-1
1.894657514E1,4.495681226E-1,-2.363413274E-1,-5.339078307E-1
1.904664305E1,6.297733784E-1,1.766035855E-1,-2.822313607E-1
1.914670607E1,2.443173826E-1,3.219895065E-1,-3.042224944E-1
1.924677508E1,1.148139536E-1,4.838688076E-1,-5.455142856E-1
1.934683847E1,1.099270359E-1,1.167387888E-1,-3.982957602E-1
1.944690525E1,1.954481602E-1,-3.231232986E-2,1.239940450E-1
1.954696953E1,-5.088794827E-1,7.453191280E-1,5.589300990E-1
1.964704965E1,-9.877977967E-1,1.246800348E-1,5.790886283E-1
1.974710713E1,-4.123627543E-1,-1.587614268E-1,3.541857749E-2
1.984717444E1,-8.607378602E-1,-5.417739153E-1,-5.980486870E-1
1.994724635E1,-1.896553487E-2,-3.426318765E-1,1.648175344E-2
2.004730870E1,4.019206166E-1,-2.057980597E-1,2.846516073E-1
2.014737631E1,7.995938659E-1,2.987766564E-1,1.007811576E-1
2.024744676E1,7.397291064E-1,6.237178296E-2,-4.160108268E-1
2.034751624E1,6.560406089E-1,-2.265674770E-1,-1.041536808E0
2.044757725E1,1.923938394E-1,1.753818542E-1,-4.386128485E-1
2.054763460E1,-2.462074012E-1,3.427198529E-2,3.048101366E-1
2.064771661E1,-5.073052645E-2,5.877158642E-1,8.588649035E-1
2.074778265E1,-4.288561046E-1,-2.559280954E-2,6.187948585E-1
2.084785160E1,-3.256198764E-1,2.340249121E-1,9.779836535E-1
2.094791641E1,-4.648971558E-1,-5.295566320E-1,-3.849611804E-2
2.104799860E1,-2.339901030E-1,-9.099449031E-3,2.339497805E-1
2.114805431E1,3.506079316E-1,5.632812977E-1,-1.044695675E-1
2.124811582E1,1.783439517E-1,2.786180675E-1,-2.608510852E-1
2.134818230E1,3.964228332E-1,2.566269338E-1,-6.415245682E-2
2.144824808E1,7.275117636E-1,-1.954133511E-1,-7.886385918E-1
2.154831029E1,5.827367306E-1,-4.226552248E-1,-8.210145235E-1
2.164838101E1,-9.043676406E-2,4.423299432E-1,-2.596293390E-1
